CODIGO_ESTACION;NOMBRE_ESTACION;NUCLEO_CERCANIAS;TRAMO_HORARIO;VIAJEROS_SUBIDOS;VIAJEROS_BAJADOS
5203;TREMAÑES-CARREÑO;ASTURIAS AM;06:00 - 06:30;3;0
5203;TREMAÑES-CARREÑO;ASTURIAS AM;06:30 - 07:00;0;1
5203;TREMAÑES-CARREÑO;ASTURIAS AM;07:00 - 07:30;0;0
5203;TREMAÑES-CARREÑO;ASTURIAS AM;07:30 - 08:00;1;3
5203;TREMAÑES-CARREÑO;ASTURIAS AM;08:00 - 08:30;0;1
5203;TREMAÑES-CARREÑO;ASTURIAS AM;08:30 - 09:00;2;0
5203;TREMAÑES-CARREÑO;ASTURIAS AM;09:00 - 09:30;1;0
5203;TREMAÑES-CARREÑO;ASTURIAS AM;09:30 - 10:00;0;0
5203;TREMAÑES-CARREÑO;ASTURIAS AM;10:00 - 10:30;0;0
5203;TREMAÑES-CARREÑO;ASTURIAS AM;10:30 - 11:00;1;0
5203;TREMAÑES-CARREÑO;ASTURIAS AM;11:00 - 11:30;0;0
5203;TREMAÑES-CARREÑO;ASTURIAS AM;11:30 - 12:00;0;0
5203;TREMAÑES-CARREÑO;ASTURIAS AM;12:00 - 12:30;0;3
5203;TREMAÑES-CARREÑO;ASTURIAS AM;12:30 - 13:00;1;0
5203;TREMAÑES-CARREÑO;ASTURIAS AM;13:00 - 13:30;0;0
5203;TREMAÑES-CARREÑO;ASTURIAS AM;13:30 - 14:00;0;1
5203;TREMAÑES-CARREÑO;ASTURIAS AM;14:00 - 14:30;0;0
5203;TREMAÑES-CARREÑO;ASTURIAS AM;14:30 - 15:00;0;0
5203;TREMAÑES-CARREÑO;ASTURIAS AM;15:00 - 15:30;0;5
5203;TREMAÑES-CARREÑO;ASTURIAS AM;15:30 - 16:00;0;1
5203;TREMAÑES-CARREÑO;ASTURIAS AM;16:00 - 16:30;0;3
5203;TREMAÑES-CARREÑO;ASTURIAS AM;16:30 - 17:00;0;0
5203;TREMAÑES-CARREÑO;ASTURIAS AM;17:00 - 17:30;0;7
5203;TREMAÑES-CARREÑO;ASTURIAS AM;17:30 - 18:00;0;0
5203;TREMAÑES-CARREÑO;ASTURIAS AM;18:00 - 18:30;0;2
5203;TREMAÑES-CARREÑO;ASTURIAS AM;18:30 - 19:00;1;0
5203;TREMAÑES-CARREÑO;ASTURIAS AM;19:00 - 19:30;0;1
5203;TREMAÑES-CARREÑO;ASTURIAS AM;19:30 - 20:00;1;0
5203;TREMAÑES-CARREÑO;ASTURIAS AM;20:00 - 20:30;0;4
5203;TREMAÑES-CARREÑO;ASTURIAS AM;20:30 - 21:00;3;0
5203;TREMAÑES-CARREÑO;ASTURIAS AM;21:00 - 21:30;0;1
5203;TREMAÑES-CARREÑO;ASTURIAS AM;21:30 - 22:00;0;0
5203;TREMAÑES-CARREÑO;ASTURIAS AM;22:00 - 22:30;0;3
5203;TREMAÑES-CARREÑO;ASTURIAS AM;22:30 - 23:00;0;0
5203;TREMAÑES-CARREÑO;ASTURIAS AM;23:00 - 23:30;0;0
5203;TREMAÑES-CARREÑO;ASTURIAS AM;23:30 - 00:00;0;0
5204;CENTRO DE TRANSPORTES;ASTURIAS AM;06:00 - 06:30;0;0
5204;CENTRO DE TRANSPORTES;ASTURIAS AM;06:30 - 07:00;0;0
5204;CENTRO DE TRANSPORTES;ASTURIAS AM;07:00 - 07:30;0;1
5204;CENTRO DE TRANSPORTES;ASTURIAS AM;07:30 - 08:00;0;1
5204;CENTRO DE TRANSPORTES;ASTURIAS AM;08:00 - 08:30;0;0
