CODIGO_ESTACION;NOMBRE_ESTACION;NUCLEO_CERCANIAS;TRAMO_HORARIO;VIAJEROS_SUBIDOS;VIAJEROS_BAJADOS
15118;PUENTE DE LOS FIERROS;ASTURIAS;07:00 - 07:30;0;2
15118;PUENTE DE LOS FIERROS;ASTURIAS;07:30 - 08:00;1;0
15118;PUENTE DE LOS FIERROS;ASTURIAS;08:00 - 08:30;1;0
15118;PUENTE DE LOS FIERROS;ASTURIAS;11:00 - 11:30;1;1
15118;PUENTE DE LOS FIERROS;ASTURIAS;11:30 - 12:00;0;0
15118;PUENTE DE LOS FIERROS;ASTURIAS;13:30 - 14:00;0;2
15118;PUENTE DE LOS FIERROS;ASTURIAS;16:00 - 16:30;0;1
15118;PUENTE DE LOS FIERROS;ASTURIAS;16:30 - 17:00;0;0
15118;PUENTE DE LOS FIERROS;ASTURIAS;17:30 - 18:00;0;0
15118;PUENTE DE LOS FIERROS;ASTURIAS;19:00 - 19:30;0;0
15118;PUENTE DE LOS FIERROS;ASTURIAS;21:00 - 21:30;0;0
15118;PUENTE DE LOS FIERROS;ASTURIAS;21:30 - 22:00;0;0
15118;PUENTE DE LOS FIERROS;ASTURIAS;22:30 - 23:00;0;1
15119;LA FRECHA;ASTURIAS;07:00 - 07:30;0;0
15119;LA FRECHA;ASTURIAS;07:30 - 08:00;0;0
15119;LA FRECHA;ASTURIAS;08:00 - 08:30;0;0
15119;LA FRECHA;ASTURIAS;11:00 - 11:30;0;1
15119;LA FRECHA;ASTURIAS;11:30 - 12:00;1;0
15119;LA FRECHA;ASTURIAS;13:30 - 14:00;0;0
15119;LA FRECHA;ASTURIAS;16:00 - 16:30;0;1
15119;LA FRECHA;ASTURIAS;16:30 - 17:00;0;0
15119;LA FRECHA;ASTURIAS;17:30 - 18:00;0;0
15119;LA FRECHA;ASTURIAS;19:00 - 19:30;0;0
15119;LA FRECHA;ASTURIAS;19:30 - 20:00;0;0
15119;LA FRECHA;ASTURIAS;21:00 - 21:30;0;0
15119;LA FRECHA;ASTURIAS;21:30 - 22:00;0;0
15119;LA FRECHA;ASTURIAS;22:00 - 22:30;0;0
15119;LA FRECHA;ASTURIAS;22:30 - 23:00;0;0
15120;CAMPOMANES;ASTURIAS;07:00 - 07:30;0;0
15120;CAMPOMANES;ASTURIAS;07:30 - 08:00;0;1
15120;CAMPOMANES;ASTURIAS;08:30 - 09:00;8;0
15120;CAMPOMANES;ASTURIAS;11:00 - 11:30;0;1
15120;CAMPOMANES;ASTURIAS;12:00 - 12:30;1;0
15120;CAMPOMANES;ASTURIAS;13:30 - 14:00;0;2
15120;CAMPOMANES;ASTURIAS;14:00 - 14:30;3;0
