CODIGO_ESTACION;NOMBRE_ESTACION;NUCLEO_CERCANIAS;TRAMO_HORARIO;VIAJEROS_SUBIDOS;VIAJEROS_BAJADOS
71600;SANT VICENÇ DE CALDERS;BARCELONA;00:00 - 00:30;0;19
71600;SANT VICENÇ DE CALDERS;BARCELONA;00:30 - 01:00;0;1
71600;SANT VICENÇ DE CALDERS;BARCELONA;05:00 - 05:30;43;0
71600;SANT VICENÇ DE CALDERS;BARCELONA;05:30 - 06:00;46;0
71600;SANT VICENÇ DE CALDERS;BARCELONA;06:00 - 06:30;56;0
71600;SANT VICENÇ DE CALDERS;BARCELONA;06:30 - 07:00;187;22
71600;SANT VICENÇ DE CALDERS;BARCELONA;07:00 - 07:30;45;50
71600;SANT VICENÇ DE CALDERS;BARCELONA;07:30 - 08:00;64;13
71600;SANT VICENÇ DE CALDERS;BARCELONA;08:00 - 08:30;81;82
71600;SANT VICENÇ DE CALDERS;BARCELONA;08:30 - 09:00;0;112
71600;SANT VICENÇ DE CALDERS;BARCELONA;09:00 - 09:30;61;60
71600;SANT VICENÇ DE CALDERS;BARCELONA;09:30 - 10:00;39;68
71600;SANT VICENÇ DE CALDERS;BARCELONA;10:00 - 10:30;97;48
71600;SANT VICENÇ DE CALDERS;BARCELONA;10:30 - 11:00;18;53
71600;SANT VICENÇ DE CALDERS;BARCELONA;11:00 - 11:30;74;37
71600;SANT VICENÇ DE CALDERS;BARCELONA;11:30 - 12:00;15;58
71600;SANT VICENÇ DE CALDERS;BARCELONA;12:00 - 12:30;107;56
71600;SANT VICENÇ DE CALDERS;BARCELONA;12:30 - 13:00;41;73
71600;SANT VICENÇ DE CALDERS;BARCELONA;13:00 - 13:30;68;19
71600;SANT VICENÇ DE CALDERS;BARCELONA;13:30 - 14:00;57;78
71600;SANT VICENÇ DE CALDERS;BARCELONA;14:00 - 14:30;99;37
71600;SANT VICENÇ DE CALDERS;BARCELONA;14:30 - 15:00;24;90
71600;SANT VICENÇ DE CALDERS;BARCELONA;15:00 - 15:30;71;42
71600;SANT VICENÇ DE CALDERS;BARCELONA;15:30 - 16:00;32;71
71600;SANT VICENÇ DE CALDERS;BARCELONA;16:00 - 16:30;77;34
71600;SANT VICENÇ DE CALDERS;BARCELONA;16:30 - 17:00;24;75
71600;SANT VICENÇ DE CALDERS;BARCELONA;17:00 - 17:30;72;48
71600;SANT VICENÇ DE CALDERS;BARCELONA;17:30 - 18:00;48;89
71600;SANT VICENÇ DE CALDERS;BARCELONA;18:00 - 18:30;80;33
71600;SANT VICENÇ DE CALDERS;BARCELONA;18:30 - 19:00;26;97
71600;SANT VICENÇ DE CALDERS;BARCELONA;19:00 - 19:30;42;42
71600;SANT VICENÇ DE CALDERS;BARCELONA;19:30 - 20:00;97;111
71600;SANT VICENÇ DE CALDERS;BARCELONA;20:00 - 20:30;9;0
71600;SANT VICENÇ DE CALDERS;BARCELONA;20:30 - 21:00;34;64
71600;SANT VICENÇ DE CALDERS;BARCELONA;21:00 - 21:30;2;55
71600;SANT VICENÇ DE CALDERS;BARCELONA;21:30 - 22:00;30;70
71600;SANT VICENÇ DE CALDERS;BARCELONA;22:00 - 22:30;0;46
71600;SANT VICENÇ DE CALDERS;BARCELONA;22:30 - 23:00;0;38
71600;SANT VICENÇ DE CALDERS;BARCELONA;23:00 - 23:30;0;15
71600;SANT VICENÇ DE CALDERS;BARCELONA;23:30 - 00:00;0;16
71601;CALAFELL;BARCELONA;05:00 - 05:30;10;0
71601;CALAFELL;BARCELONA;05:30 - 06:00;21;0
71601;CALAFELL;BARCELONA;06:00 - 06:30;41;0
71601;CALAFELL;BARCELONA;06:30 - 07:00;136;0
71601;CALAFELL;BARCELONA;07:00 - 07:30;110;43
71601;CALAFELL;BARCELONA;07:30 - 08:00;226;9
71601;CALAFELL;BARCELONA;08:00 - 08:30;70;5
71601;CALAFELL;BARCELONA;08:30 - 09:00;5;45
71601;CALAFELL;BARCELONA;09:00 - 09:30;60;24
71601;CALAFELL;BARCELONA;09:30 - 10:00;32;38
71601;CALAFELL;BARCELONA;10:00 - 10:30;42;6
71601;CALAFELL;BARCELONA;10:30 - 11:00;35;24
71601;CALAFELL;BARCELONA;11:00 - 11:30;42;22
71601;CALAFELL;BARCELONA;11:30 - 12:00;30;26
71601;CALAFELL;BARCELONA;12:00 - 12:30;23;22
71601;CALAFELL;BARCELONA;12:30 - 13:00;25;36
71601;CALAFELL;BARCELONA;13:00 - 13:30;41;69
71601;CALAFELL;BARCELONA;13:30 - 14:00;48;39
71601;CALAFELL;BARCELONA;14:00 - 14:30;37;6
71601;CALAFELL;BARCELONA;14:30 - 15:00;30;91
71601;CALAFELL;BARCELONA;15:00 - 15:30;41;55
71601;CALAFELL;BARCELONA;15:30 - 16:00;34;140
71601;CALAFELL;BARCELONA;16:00 - 16:30;22;6
71601;CALAFELL;BARCELONA;16:30 - 17:00;18;46
71601;CALAFELL;BARCELONA;17:00 - 17:30;26;79
71601;CALAFELL;BARCELONA;17:30 - 18:00;45;64
71601;CALAFELL;BARCELONA;18:00 - 18:30;10;67
71601;CALAFELL;BARCELONA;18:30 - 19:00;17;95
71601;CALAFELL;BARCELONA;19:00 - 19:30;12;108
71601;CALAFELL;BARCELONA;19:30 - 20:00;22;106
71601;CALAFELL;BARCELONA;20:00 - 20:30;12;3
71601;CALAFELL;BARCELONA;20:30 - 21:00;14;83
71601;CALAFELL;BARCELONA;21:00 - 21:30;7;75
71601;CALAFELL;BARCELONA;21:30 - 22:00;7;95
71601;CALAFELL;BARCELONA;22:00 - 22:30;2;56
71601;CALAFELL;BARCELONA;22:30 - 23:00;0;44
71601;CALAFELL;BARCELONA;23:00 - 23:30;0;38
71601;CALAFELL;BARCELONA;23:30 - 00:00;0;23
71602;SEGUR DE CALAFELL;BARCELONA;05:00 - 05:30;14;0
71602;SEGUR DE CALAFELL;BARCELONA;05:30 - 06:00;25;0
71602;SEGUR DE CALAFELL;BARCELONA;06:00 - 06:30;33;0
71602;SEGUR DE CALAFELL;BARCELONA;06:30 - 07:00;86;10
71602;SEGUR DE CALAFELL;BARCELONA;07:00 - 07:30;77;7
71602;SEGUR DE CALAFELL;BARCELONA;07:30 - 08:00;146;7
71602;SEGUR DE CALAFELL;BARCELONA;08:00 - 08:30;33;1
71602;SEGUR DE CALAFELL;BARCELONA;08:30 - 09:00;17;9
71602;SEGUR DE CALAFELL;BARCELONA;09:00 - 09:30;65;12
71602;SEGUR DE CALAFELL;BARCELONA;09:30 - 10:00;54;35
71602;SEGUR DE CALAFELL;BARCELONA;10:00 - 10:30;25;5
71602;SEGUR DE CALAFELL;BARCELONA;10:30 - 11:00;36;20
71602;SEGUR DE CALAFELL;BARCELONA;11:00 - 11:30;38;37
71602;SEGUR DE CALAFELL;BARCELONA;11:30 - 12:00;40;29
71602;SEGUR DE CALAFELL;BARCELONA;12:00 - 12:30;15;6
71602;SEGUR DE CALAFELL;BARCELONA;12:30 - 13:00;31;53
71602;SEGUR DE CALAFELL;BARCELONA;13:00 - 13:30;28;38
71602;SEGUR DE CALAFELL;BARCELONA;13:30 - 14:00;26;42
71602;SEGUR DE CALAFELL;BARCELONA;14:00 - 14:30;32;8
71602;SEGUR DE CALAFELL;BARCELONA;14:30 - 15:00;23;39
71602;SEGUR DE CALAFELL;BARCELONA;15:00 - 15:30;47;49
71602;SEGUR DE CALAFELL;BARCELONA;15:30 - 16:00;23;62
71602;SEGUR DE CALAFELL;BARCELONA;16:00 - 16:30;39;58
71602;SEGUR DE CALAFELL;BARCELONA;16:30 - 17:00;11;1
71602;SEGUR DE CALAFELL;BARCELONA;17:00 - 17:30;30;48
71602;SEGUR DE CALAFELL;BARCELONA;17:30 - 18:00;23;44
71602;SEGUR DE CALAFELL;BARCELONA;18:00 - 18:30;25;80
71602;SEGUR DE CALAFELL;BARCELONA;18:30 - 19:00;14;3
71602;SEGUR DE CALAFELL;BARCELONA;19:00 - 19:30;24;49
71602;SEGUR DE CALAFELL;BARCELONA;19:30 - 20:00;15;61
71602;SEGUR DE CALAFELL;BARCELONA;20:00 - 20:30;16;3
71602;SEGUR DE CALAFELL;BARCELONA;20:30 - 21:00;10;122
71602;SEGUR DE CALAFELL;BARCELONA;21:00 - 21:30;7;8
71602;SEGUR DE CALAFELL;BARCELONA;21:30 - 22:00;13;84
71602;SEGUR DE CALAFELL;BARCELONA;22:00 - 22:30;2;11
71602;SEGUR DE CALAFELL;BARCELONA;22:30 - 23:00;1;19
71602;SEGUR DE CALAFELL;BARCELONA;23:30 - 00:00;5;24
71603;CUNIT;BARCELONA;05:00 - 05:30;20;1
71603;CUNIT;BARCELONA;05:30 - 06:00;38;0
71603;CUNIT;BARCELONA;06:00 - 06:30;57;0
71603;CUNIT;BARCELONA;06:30 - 07:00;90;13
71603;CUNIT;BARCELONA;07:00 - 07:30;80;17
71603;CUNIT;BARCELONA;07:30 - 08:00;79;12
71603;CUNIT;BARCELONA;08:00 - 08:30;111;22
71603;CUNIT;BARCELONA;09:00 - 09:30;47;25
71603;CUNIT;BARCELONA;09:30 - 10:00;34;10
71603;CUNIT;BARCELONA;10:00 - 10:30;32;24
71603;CUNIT;BARCELONA;10:30 - 11:00;22;14
71603;CUNIT;BARCELONA;11:00 - 11:30;39;23
71603;CUNIT;BARCELONA;11:30 - 12:00;31;23
71603;CUNIT;BARCELONA;12:00 - 12:30;33;23
71603;CUNIT;BARCELONA;12:30 - 13:00;34;23
71603;CUNIT;BARCELONA;13:00 - 13:30;28;40
71603;CUNIT;BARCELONA;13:30 - 14:00;31;28
71603;CUNIT;BARCELONA;14:00 - 14:30;32;30
71603;CUNIT;BARCELONA;14:30 - 15:00;37;51
71603;CUNIT;BARCELONA;15:00 - 15:30;24;63
71603;CUNIT;BARCELONA;15:30 - 16:00;28;37
71603;CUNIT;BARCELONA;16:00 - 16:30;42;47
71603;CUNIT;BARCELONA;16:30 - 17:00;21;44
71603;CUNIT;BARCELONA;17:00 - 17:30;26;35
71603;CUNIT;BARCELONA;17:30 - 18:00;36;42
71603;CUNIT;BARCELONA;18:00 - 18:30;18;35
71603;CUNIT;BARCELONA;18:30 - 19:00;11;4
71603;CUNIT;BARCELONA;19:00 - 19:30;22;167
71603;CUNIT;BARCELONA;19:30 - 20:00;3;4
71603;CUNIT;BARCELONA;20:00 - 20:30;10;76
71603;CUNIT;BARCELONA;20:30 - 21:00;8;37
71603;CUNIT;BARCELONA;21:00 - 21:30;5;55
71603;CUNIT;BARCELONA;21:30 - 22:00;5;32
71603;CUNIT;BARCELONA;22:00 - 22:30;3;32
71603;CUNIT;BARCELONA;22:30 - 23:00;0;19
71603;CUNIT;BARCELONA;23:30 - 00:00;0;16
71604;CUBELLES;BARCELONA;05:30 - 06:00;63;1
71604;CUBELLES;BARCELONA;06:00 - 06:30;65;0
71604;CUBELLES;BARCELONA;06:30 - 07:00;150;15
71604;CUBELLES;BARCELONA;07:00 - 07:30;97;21
71604;CUBELLES;BARCELONA;07:30 - 08:00;102;8
71604;CUBELLES;BARCELONA;08:00 - 08:30;82;17
71604;CUBELLES;BARCELONA;08:30 - 09:00;68;16
71604;CUBELLES;BARCELONA;09:00 - 09:30;62;16
71604;CUBELLES;BARCELONA;09:30 - 10:00;46;14
71604;CUBELLES;BARCELONA;10:00 - 10:30;69;19
71604;CUBELLES;BARCELONA;10:30 - 11:00;70;14
71604;CUBELLES;BARCELONA;11:00 - 11:30;27;19
71604;CUBELLES;BARCELONA;11:30 - 12:00;39;20
71604;CUBELLES;BARCELONA;12:00 - 12:30;38;34
71604;CUBELLES;BARCELONA;12:30 - 13:00;32;29
71604;CUBELLES;BARCELONA;13:00 - 13:30;22;34
71604;CUBELLES;BARCELONA;13:30 - 14:00;26;89
71604;CUBELLES;BARCELONA;14:00 - 14:30;39;45
71604;CUBELLES;BARCELONA;14:30 - 15:00;44;76
71604;CUBELLES;BARCELONA;15:00 - 15:30;47;71
71604;CUBELLES;BARCELONA;15:30 - 16:00;36;55
71604;CUBELLES;BARCELONA;16:00 - 16:30;26;86
71604;CUBELLES;BARCELONA;16:30 - 17:00;36;41
71604;CUBELLES;BARCELONA;17:00 - 17:30;28;50
71604;CUBELLES;BARCELONA;17:30 - 18:00;53;64
71604;CUBELLES;BARCELONA;18:00 - 18:30;32;85
71604;CUBELLES;BARCELONA;18:30 - 19:00;33;89
71604;CUBELLES;BARCELONA;19:00 - 19:30;20;95
71604;CUBELLES;BARCELONA;19:30 - 20:00;7;1
71604;CUBELLES;BARCELONA;20:00 - 20:30;18;109
71604;CUBELLES;BARCELONA;20:30 - 21:00;7;73
71604;CUBELLES;BARCELONA;21:00 - 21:30;11;85
71604;CUBELLES;BARCELONA;21:30 - 22:00;9;56
71604;CUBELLES;BARCELONA;22:00 - 22:30;2;48
71604;CUBELLES;BARCELONA;22:30 - 23:00;0;31
71604;CUBELLES;BARCELONA;23:30 - 00:00;0;16
71700;VILANOVA I LA GELTRU;BARCELONA;00:00 - 00:30;0;84
71700;VILANOVA I LA GELTRU;BARCELONA;00:30 - 01:00;0;20
71700;VILANOVA I LA GELTRU;BARCELONA;04:30 - 05:00;62;0
71700;VILANOVA I LA GELTRU;BARCELONA;05:30 - 06:00;75;5
71700;VILANOVA I LA GELTRU;BARCELONA;06:00 - 06:30;349;13
