CODIGO_ESTACION;NOMBRE_ESTACION;NUCLEO_CERCANIAS;TRAMO_HORARIO;VIAJEROS_SUBIDOS;VIAJEROS_BAJADOS
13100;ORDUÑA;BILBAO;00:00 - 00:30;0;5
13100;ORDUÑA;BILBAO;05:00 - 05:30;2;0
13100;ORDUÑA;BILBAO;05:30 - 06:00;8;4
13100;ORDUÑA;BILBAO;06:00 - 06:30;14;8
13100;ORDUÑA;BILBAO;06:30 - 07:00;41;3
13100;ORDUÑA;BILBAO;07:00 - 07:30;51;0
13100;ORDUÑA;BILBAO;07:30 - 08:00;31;28
13100;ORDUÑA;BILBAO;08:00 - 08:30;56;5
13100;ORDUÑA;BILBAO;08:30 - 09:00;40;43
13100;ORDUÑA;BILBAO;09:00 - 09:30;23;5
13100;ORDUÑA;BILBAO;09:30 - 10:00;25;16
13100;ORDUÑA;BILBAO;10:30 - 11:00;24;8
13100;ORDUÑA;BILBAO;11:00 - 11:30;16;4
13100;ORDUÑA;BILBAO;11:30 - 12:00;9;23
13100;ORDUÑA;BILBAO;12:30 - 13:00;14;24
13100;ORDUÑA;BILBAO;13:00 - 13:30;23;21
13100;ORDUÑA;BILBAO;13:30 - 14:00;26;15
13100;ORDUÑA;BILBAO;14:00 - 14:30;7;29
13100;ORDUÑA;BILBAO;14:30 - 15:00;23;27
13100;ORDUÑA;BILBAO;15:00 - 15:30;16;49
13100;ORDUÑA;BILBAO;15:30 - 16:00;18;30
13100;ORDUÑA;BILBAO;16:00 - 16:30;0;18
13100;ORDUÑA;BILBAO;16:30 - 17:00;29;17
13100;ORDUÑA;BILBAO;17:00 - 17:30;25;10
13100;ORDUÑA;BILBAO;17:30 - 18:00;2;26
13100;ORDUÑA;BILBAO;18:00 - 18:30;18;14
13100;ORDUÑA;BILBAO;18:30 - 19:00;5;23
13100;ORDUÑA;BILBAO;19:00 - 19:30;11;17
13100;ORDUÑA;BILBAO;19:30 - 20:00;5;26
13100;ORDUÑA;BILBAO;20:00 - 20:30;6;14
13100;ORDUÑA;BILBAO;20:30 - 21:00;5;29
13100;ORDUÑA;BILBAO;21:00 - 21:30;0;21
13100;ORDUÑA;BILBAO;21:30 - 22:00;5;22
13100;ORDUÑA;BILBAO;22:00 - 22:30;0;24
13100;ORDUÑA;BILBAO;22:30 - 23:00;1;6
13100;ORDUÑA;BILBAO;23:00 - 23:30;0;5
13101;AMURRIO;BILBAO;05:00 - 05:30;3;0
13101;AMURRIO;BILBAO;05:30 - 06:00;11;3
13101;AMURRIO;BILBAO;06:00 - 06:30;13;2
13101;AMURRIO;BILBAO;06:30 - 07:00;23;7
13101;AMURRIO;BILBAO;07:00 - 07:30;58;14
13101;AMURRIO;BILBAO;07:30 - 08:00;41;19
13101;AMURRIO;BILBAO;08:00 - 08:30;62;59
13101;AMURRIO;BILBAO;08:30 - 09:00;13;21
13101;AMURRIO;BILBAO;09:00 - 09:30;53;23
13101;AMURRIO;BILBAO;09:30 - 10:00;0;11
13101;AMURRIO;BILBAO;10:00 - 10:30;20;17
13101;AMURRIO;BILBAO;10:30 - 11:00;20;6
13101;AMURRIO;BILBAO;11:00 - 11:30;5;10
13101;AMURRIO;BILBAO;11:30 - 12:00;0;8
13101;AMURRIO;BILBAO;12:00 - 12:30;22;21
13101;AMURRIO;BILBAO;12:30 - 13:00;14;4
13101;AMURRIO;BILBAO;13:00 - 13:30;22;28
13101;AMURRIO;BILBAO;13:30 - 14:00;15;39
13101;AMURRIO;BILBAO;14:00 - 14:30;26;20
13101;AMURRIO;BILBAO;14:30 - 15:00;59;50
13101;AMURRIO;BILBAO;15:00 - 15:30;9;29
13101;AMURRIO;BILBAO;15:30 - 16:00;31;9
13101;AMURRIO;BILBAO;16:00 - 16:30;18;45
13101;AMURRIO;BILBAO;16:30 - 17:00;17;0
13101;AMURRIO;BILBAO;17:00 - 17:30;12;32
