CODIGO_ESTACION;NOMBRE_ESTACION;NUCLEO_CERCANIAS;TRAMO_HORARIO;VIAJEROS_SUBIDOS;VIAJEROS_BAJADOS
14202;REINOSA;CANTABRIA;07:00 - 07:30;6;0
14202;REINOSA;CANTABRIA;08:30 - 09:00;2;0
14202;REINOSA;CANTABRIA;10:00 - 10:30;3;8
14202;REINOSA;CANTABRIA;11:30 - 12:00;4;2
14202;REINOSA;CANTABRIA;13:30 - 14:00;0;1
14202;REINOSA;CANTABRIA;14:30 - 15:00;2;0
14202;REINOSA;CANTABRIA;15:30 - 16:00;0;2
14202;REINOSA;CANTABRIA;17:00 - 17:30;0;3
14202;REINOSA;CANTABRIA;18:30 - 19:00;2;2
14202;REINOSA;CANTABRIA;20:00 - 20:30;0;7
14202;REINOSA;CANTABRIA;20:30 - 21:00;1;0
14202;REINOSA;CANTABRIA;22:00 - 22:30;3;1
14203;LANTUENO-SANTIURDE;CANTABRIA;07:00 - 07:30;0;0
14203;LANTUENO-SANTIURDE;CANTABRIA;09:00 - 09:30;0;0
14203;LANTUENO-SANTIURDE;CANTABRIA;09:30 - 10:00;0;0
14203;LANTUENO-SANTIURDE;CANTABRIA;10:00 - 10:30;0;0
14203;LANTUENO-SANTIURDE;CANTABRIA;11:30 - 12:00;1;0
14203;LANTUENO-SANTIURDE;CANTABRIA;12:00 - 12:30;0;0
14203;LANTUENO-SANTIURDE;CANTABRIA;13:30 - 14:00;1;0
14203;LANTUENO-SANTIURDE;CANTABRIA;15:00 - 15:30;0;0
14203;LANTUENO-SANTIURDE;CANTABRIA;15:30 - 16:00;0;0
14203;LANTUENO-SANTIURDE;CANTABRIA;16:30 - 17:00;0;0
14203;LANTUENO-SANTIURDE;CANTABRIA;17:30 - 18:00;0;0
14203;LANTUENO-SANTIURDE;CANTABRIA;18:00 - 18:30;0;2
14203;LANTUENO-SANTIURDE;CANTABRIA;19:00 - 19:30;0;1
14203;LANTUENO-SANTIURDE;CANTABRIA;19:30 - 20:00;0;0
14203;LANTUENO-SANTIURDE;CANTABRIA;20:30 - 21:00;0;1
14203;LANTUENO-SANTIURDE;CANTABRIA;22:00 - 22:30;0;0
14203;LANTUENO-SANTIURDE;CANTABRIA;22:30 - 23:00;0;0
14204;PESQUERA;CANTABRIA;07:00 - 07:30;0;0
14204;PESQUERA;CANTABRIA;09:00 - 09:30;0;0
14204;PESQUERA;CANTABRIA;09:30 - 10:00;0;1
14204;PESQUERA;CANTABRIA;10:00 - 10:30;1;0
14204;PESQUERA;CANTABRIA;11:00 - 11:30;0;0
14204;PESQUERA;CANTABRIA;12:00 - 12:30;0;0
14204;PESQUERA;CANTABRIA;13:30 - 14:00;0;0
14204;PESQUERA;CANTABRIA;15:00 - 15:30;0;0
14204;PESQUERA;CANTABRIA;15:30 - 16:00;0;0
14204;PESQUERA;CANTABRIA;16:30 - 17:00;0;0
14204;PESQUERA;CANTABRIA;17:30 - 18:00;0;0
14204;PESQUERA;CANTABRIA;18:00 - 18:30;0;0
14204;PESQUERA;CANTABRIA;19:00 - 19:30;0;0
14204;PESQUERA;CANTABRIA;19:30 - 20:00;0;0
14204;PESQUERA;CANTABRIA;20:30 - 21:00;0;0
14204;PESQUERA;CANTABRIA;22:00 - 22:30;0;0
14204;PESQUERA;CANTABRIA;22:30 - 23:00;0;0
14206;BARCENA;CANTABRIA;06:30 - 07:00;4;0
14206;BARCENA;CANTABRIA;07:30 - 08:00;1;1
14206;BARCENA;CANTABRIA;08:30 - 09:00;1;1
14206;BARCENA;CANTABRIA;09:00 - 09:30;1;0
14206;BARCENA;CANTABRIA;09:30 - 10:00;1;0
14206;BARCENA;CANTABRIA;10:30 - 11:00;0;1
14206;BARCENA;CANTABRIA;11:00 - 11:30;1;1
14206;BARCENA;CANTABRIA;12:00 - 12:30;1;1
14206;BARCENA;CANTABRIA;13:00 - 13:30;0;0
14206;BARCENA;CANTABRIA;15:00 - 15:30;4;4
14206;BARCENA;CANTABRIA;16:00 - 16:30;0;0
14206;BARCENA;CANTABRIA;17:30 - 18:00;0;6
14206;BARCENA;CANTABRIA;18:00 - 18:30;2;0
14206;BARCENA;CANTABRIA;19:00 - 19:30;1;4
14206;BARCENA;CANTABRIA;19:30 - 20:00;0;0
14206;BARCENA;CANTABRIA;21:00 - 21:30;0;0
14206;BARCENA;CANTABRIA;21:30 - 22:00;0;1
14206;BARCENA;CANTABRIA;23:00 - 23:30;0;0
14207;MOLLEDO-PORTOLIN;CANTABRIA;06:30 - 07:00;2;0
14207;MOLLEDO-PORTOLIN;CANTABRIA;07:30 - 08:00;0;0
14207;MOLLEDO-PORTOLIN;CANTABRIA;08:30 - 09:00;0;0
14207;MOLLEDO-PORTOLIN;CANTABRIA;09:00 - 09:30;1;0
14207;MOLLEDO-PORTOLIN;CANTABRIA;09:30 - 10:00;1;0
14207;MOLLEDO-PORTOLIN;CANTABRIA;10:30 - 11:00;2;0
14207;MOLLEDO-PORTOLIN;CANTABRIA;11:00 - 11:30;0;1
14207;MOLLEDO-PORTOLIN;CANTABRIA;12:00 - 12:30;1;0
14207;MOLLEDO-PORTOLIN;CANTABRIA;13:00 - 13:30;0;0
14207;MOLLEDO-PORTOLIN;CANTABRIA;15:00 - 15:30;0;3
14207;MOLLEDO-PORTOLIN;CANTABRIA;15:30 - 16:00;4;1
14207;MOLLEDO-PORTOLIN;CANTABRIA;16:00 - 16:30;0;1
14207;MOLLEDO-PORTOLIN;CANTABRIA;17:30 - 18:00;1;1
14207;MOLLEDO-PORTOLIN;CANTABRIA;18:00 - 18:30;2;0
14207;MOLLEDO-PORTOLIN;CANTABRIA;19:00 - 19:30;0;1
14207;MOLLEDO-PORTOLIN;CANTABRIA;19:30 - 20:00;0;0
14207;MOLLEDO-PORTOLIN;CANTABRIA;21:00 - 21:30;0;0
14207;MOLLEDO-PORTOLIN;CANTABRIA;21:30 - 22:00;0;4
14207;MOLLEDO-PORTOLIN;CANTABRIA;23:00 - 23:30;0;0
14208;SANTA CRUZ DE IGUÑA;CANTABRIA;06:30 - 07:00;0;0
