CODIGO_ESTACION;NOMBRE_ESTACION;NUCLEO_CERCANIAS;TRAMO_HORARIO;VIAJEROS_SUBIDOS;VIAJEROS_BAJADOS
5753;GUARDO-APEADERO;LEON AM;07:00 - 07:30;0;1
5753;GUARDO-APEADERO;LEON AM;12:30 - 13:00;2;2
5753;GUARDO-APEADERO;LEON AM;16:30 - 17:00;1;2
5753;GUARDO-APEADERO;LEON AM;19:30 - 20:00;2;3
5754;GUARDO;LEON AM;06:30 - 07:00;0;0
5754;GUARDO;LEON AM;07:00 - 07:30;0;0
5754;GUARDO;LEON AM;12:30 - 13:00;0;0
5754;GUARDO;LEON AM;16:30 - 17:00;1;1
5754;GUARDO;LEON AM;19:30 - 20:00;0;0
5755;LA LLAMA DE LA GUZPEÑA;LEON AM;06:00 - 06:30;0;0
5755;LA LLAMA DE LA GUZPEÑA;LEON AM;07:30 - 08:00;2;0
5755;LA LLAMA DE LA GUZPEÑA;LEON AM;11:30 - 12:00;0;0
5755;LA LLAMA DE LA GUZPEÑA;LEON AM;13:00 - 13:30;0;0
5755;LA LLAMA DE LA GUZPEÑA;LEON AM;15:30 - 16:00;0;2
5755;LA LLAMA DE LA GUZPEÑA;LEON AM;20:00 - 20:30;0;0
5756;LA ESPINA;LEON AM;06:30 - 07:00;0;0
5756;LA ESPINA;LEON AM;07:00 - 07:30;0;0
5756;LA ESPINA;LEON AM;12:00 - 12:30;0;0
5756;LA ESPINA;LEON AM;12:30 - 13:00;0;0
5756;LA ESPINA;LEON AM;16:00 - 16:30;0;0
5756;LA ESPINA;LEON AM;19:30 - 20:00;0;0
5757;VALCUENDE;LEON AM;06:30 - 07:00;0;0
5757;VALCUENDE;LEON AM;07:00 - 07:30;0;0
5757;VALCUENDE;LEON AM;12:00 - 12:30;0;0
5757;VALCUENDE;LEON AM;13:00 - 13:30;0;0
5757;VALCUENDE;LEON AM;16:00 - 16:30;0;0
5757;VALCUENDE;LEON AM;20:00 - 20:30;0;0
5758;PUENTE ALMUHEY;LEON AM;06:30 - 07:00;0;0
5758;PUENTE ALMUHEY;LEON AM;07:30 - 08:00;0;0
5758;PUENTE ALMUHEY;LEON AM;12:00 - 12:30;0;0
5758;PUENTE ALMUHEY;LEON AM;13:00 - 13:30;2;0
5758;PUENTE ALMUHEY;LEON AM;16:00 - 16:30;0;0
5758;PUENTE ALMUHEY;LEON AM;20:00 - 20:30;0;1
5759;PRADO DE LA GUZPEÑA;LEON AM;06:00 - 06:30;0;0
5759;PRADO DE LA GUZPEÑA;LEON AM;07:30 - 08:00;0;0
5759;PRADO DE LA GUZPEÑA;LEON AM;12:00 - 12:30;0;0
5759;PRADO DE LA GUZPEÑA;LEON AM;13:00 - 13:30;0;0
5759;PRADO DE LA GUZPEÑA;LEON AM;16:00 - 16:30;0;0
5759;PRADO DE LA GUZPEÑA;LEON AM;20:00 - 20:30;0;0
5760;VALLE DE LAS CASAS;LEON AM;06:00 - 06:30;0;0
5760;VALLE DE LAS CASAS;LEON AM;07:30 - 08:00;0;0
5760;VALLE DE LAS CASAS;LEON AM;11:30 - 12:00;0;0
5760;VALLE DE LAS CASAS;LEON AM;13:30 - 14:00;0;0
5760;VALLE DE LAS CASAS;LEON AM;15:30 - 16:00;0;0
5760;VALLE DE LAS CASAS;LEON AM;20:00 - 20:30;0;0
5761;CISTIERNA;LEON AM;06:00 - 06:30;5;0
5761;CISTIERNA;LEON AM;08:00 - 08:30;4;0
5761;CISTIERNA;LEON AM;10:00 - 10:30;10;0
5761;CISTIERNA;LEON AM;11:30 - 12:00;2;5
5761;CISTIERNA;LEON AM;13:30 - 14:00;8;0
5761;CISTIERNA;LEON AM;15:00 - 15:30;0;6
5761;CISTIERNA;LEON AM;15:30 - 16:00;9;2
5761;CISTIERNA;LEON AM;17:30 - 18:00;0;9
5761;CISTIERNA;LEON AM;18:00 - 18:30;8;0
5761;CISTIERNA;LEON AM;20:00 - 20:30;0;13
5761;CISTIERNA;LEON AM;20:30 - 21:00;2;2
5761;CISTIERNA;LEON AM;22:00 - 22:30;0;8
5762;YUGUEROS;LEON AM;06:00 - 06:30;0;0
5762;YUGUEROS;LEON AM;08:00 - 08:30;0;0
5762;YUGUEROS;LEON AM;09:30 - 10:00;0;0
5762;YUGUEROS;LEON AM;10:00 - 10:30;0;0
5762;YUGUEROS;LEON AM;11:00 - 11:30;0;0
5762;YUGUEROS;LEON AM;13:30 - 14:00;0;0
5762;YUGUEROS;LEON AM;14:30 - 15:00;0;0
5762;YUGUEROS;LEON AM;15:00 - 15:30;0;0
5762;YUGUEROS;LEON AM;15:30 - 16:00;1;0
5762;YUGUEROS;LEON AM;17:00 - 17:30;0;0
5762;YUGUEROS;LEON AM;18:00 - 18:30;0;0
5762;YUGUEROS;LEON AM;19:30 - 20:00;0;0
5762;YUGUEROS;LEON AM;20:30 - 21:00;0;0
5762;YUGUEROS;LEON AM;22:00 - 22:30;0;0
5763;LA ERCINA;LEON AM;06:00 - 06:30;2;0
5763;LA ERCINA;LEON AM;08:00 - 08:30;1;0
5763;LA ERCINA;LEON AM;09:30 - 10:00;0;1
5763;LA ERCINA;LEON AM;10:00 - 10:30;2;0
5763;LA ERCINA;LEON AM;11:00 - 11:30;0;0
5763;LA ERCINA;LEON AM;13:30 - 14:00;1;0
5763;LA ERCINA;LEON AM;14:30 - 15:00;0;0
5763;LA ERCINA;LEON AM;15:00 - 15:30;0;0
5763;LA ERCINA;LEON AM;15:30 - 16:00;0;0
5763;LA ERCINA;LEON AM;17:00 - 17:30;0;1
5763;LA ERCINA;LEON AM;18:00 - 18:30;0;0
5763;LA ERCINA;LEON AM;19:30 - 20:00;0;1
5763;LA ERCINA;LEON AM;20:30 - 21:00;0;0
5763;LA ERCINA;LEON AM;22:00 - 22:30;0;2
5764;BARRILLOS;LEON AM;06:30 - 07:00;0;0
