CODIGO_ESTACION;NOMBRE_ESTACION;NUCLEO_CERCANIAS;TRAMO_HORARIO;VIAJEROS_SUBIDOS;VIAJEROS_BAJADOS
54405;ALORA;MÁLAGA;06:30 - 07:00;33;3
54405;ALORA;MÁLAGA;07:30 - 08:00;17;6
54405;ALORA;MÁLAGA;08:30 - 09:00;39;12
54405;ALORA;MÁLAGA;10:00 - 10:30;0;23
54405;ALORA;MÁLAGA;10:30 - 11:00;16;0
54405;ALORA;MÁLAGA;12:00 - 12:30;0;40
54405;ALORA;MÁLAGA;12:30 - 13:00;10;0
54405;ALORA;MÁLAGA;13:00 - 13:30;0;27
54405;ALORA;MÁLAGA;13:30 - 14:00;13;0
54405;ALORA;MÁLAGA;14:00 - 14:30;0;13
54405;ALORA;MÁLAGA;14:30 - 15:00;26;0
54405;ALORA;MÁLAGA;15:00 - 15:30;0;28
54405;ALORA;MÁLAGA;15:30 - 16:00;31;0
54405;ALORA;MÁLAGA;16:00 - 16:30;0;45
54405;ALORA;MÁLAGA;16:30 - 17:00;23;0
54405;ALORA;MÁLAGA;18:00 - 18:30;0;30
54405;ALORA;MÁLAGA;18:30 - 19:00;12;0
54405;ALORA;MÁLAGA;19:00 - 19:30;0;22
54405;ALORA;MÁLAGA;19:30 - 20:00;15;0
54405;ALORA;MÁLAGA;20:00 - 20:30;0;46
54405;ALORA;MÁLAGA;20:30 - 21:00;4;0
54405;ALORA;MÁLAGA;21:00 - 21:30;0;15
54405;ALORA;MÁLAGA;21:30 - 22:00;1;0
54405;ALORA;MÁLAGA;22:00 - 22:30;0;7
54405;ALORA;MÁLAGA;22:30 - 23:00;2;0
54406;PIZARRA;MÁLAGA;06:30 - 07:00;37;0
54406;PIZARRA;MÁLAGA;07:30 - 08:00;3;3
54406;PIZARRA;MÁLAGA;08:00 - 08:30;28;0
54406;PIZARRA;MÁLAGA;08:30 - 09:00;1;7
54406;PIZARRA;MÁLAGA;09:00 - 09:30;44;1
54406;PIZARRA;MÁLAGA;10:00 - 10:30;0;7
54406;PIZARRA;MÁLAGA;11:00 - 11:30;25;0
54406;PIZARRA;MÁLAGA;12:00 - 12:30;0;13
54406;PIZARRA;MÁLAGA;13:00 - 13:30;18;15
54406;PIZARRA;MÁLAGA;14:00 - 14:30;14;20
