CODIGO_ESTACION;NOMBRE_ESTACION;NUCLEO_CERCANIAS;TRAMO_HORARIO;VIAJEROS_SUBIDOS;VIAJEROS_BAJADOS
6001;LIBRILLA;MURCIA;06:30 - 07:00;3;0
6001;LIBRILLA;MURCIA;07:00 - 07:30;23;5
6001;LIBRILLA;MURCIA;07:30 - 08:00;4;2
6001;LIBRILLA;MURCIA;08:00 - 08:30;1;6
6001;LIBRILLA;MURCIA;08:30 - 09:00;4;2
6001;LIBRILLA;MURCIA;09:00 - 09:30;10;2
6001;LIBRILLA;MURCIA;10:00 - 10:30;1;4
6001;LIBRILLA;MURCIA;10:30 - 11:00;0;0
6001;LIBRILLA;MURCIA;11:30 - 12:00;1;1
6001;LIBRILLA;MURCIA;12:00 - 12:30;2;3
6001;LIBRILLA;MURCIA;13:00 - 13:30;0;1
6001;LIBRILLA;MURCIA;13:30 - 14:00;3;2
6001;LIBRILLA;MURCIA;14:00 - 14:30;6;4
6001;LIBRILLA;MURCIA;15:00 - 15:30;5;11
6001;LIBRILLA;MURCIA;15:30 - 16:00;6;5
6001;LIBRILLA;MURCIA;16:00 - 16:30;5;7
6001;LIBRILLA;MURCIA;17:00 - 17:30;0;0
6001;LIBRILLA;MURCIA;17:30 - 18:00;2;0
6001;LIBRILLA;MURCIA;18:00 - 18:30;4;1
6001;LIBRILLA;MURCIA;19:00 - 19:30;0;4
6001;LIBRILLA;MURCIA;19:30 - 20:00;3;1
6001;LIBRILLA;MURCIA;20:00 - 20:30;3;6
6001;LIBRILLA;MURCIA;20:30 - 21:00;0;0
6001;LIBRILLA;MURCIA;21:00 - 21:30;0;7
6001;LIBRILLA;MURCIA;21:30 - 22:00;0;0
6001;LIBRILLA;MURCIA;22:30 - 23:00;0;7
6002;ALHAMA DE MURCIA;MURCIA;07:00 - 07:30;44;16
6002;ALHAMA DE MURCIA;MURCIA;07:30 - 08:00;17;10
6002;ALHAMA DE MURCIA;MURCIA;08:00 - 08:30;42;8
6002;ALHAMA DE MURCIA;MURCIA;09:00 - 09:30;23;6
6002;ALHAMA DE MURCIA;MURCIA;10:00 - 10:30;19;9
6002;ALHAMA DE MURCIA;MURCIA;11:00 - 11:30;6;7
6002;ALHAMA DE MURCIA;MURCIA;12:00 - 12:30;3;12
6002;ALHAMA DE MURCIA;MURCIA;13:00 - 13:30;1;11
6002;ALHAMA DE MURCIA;MURCIA;13:30 - 14:00;11;8
6002;ALHAMA DE MURCIA;MURCIA;14:00 - 14:30;29;33
6002;ALHAMA DE MURCIA;MURCIA;15:00 - 15:30;4;39
6002;ALHAMA DE MURCIA;MURCIA;15:30 - 16:00;16;14
6002;ALHAMA DE MURCIA;MURCIA;16:00 - 16:30;26;26
6002;ALHAMA DE MURCIA;MURCIA;17:00 - 17:30;0;5
6002;ALHAMA DE MURCIA;MURCIA;17:30 - 18:00;4;3
6002;ALHAMA DE MURCIA;MURCIA;18:00 - 18:30;10;13
6002;ALHAMA DE MURCIA;MURCIA;19:00 - 19:30;3;12
6002;ALHAMA DE MURCIA;MURCIA;19:30 - 20:00;9;3
6002;ALHAMA DE MURCIA;MURCIA;20:00 - 20:30;4;23
6002;ALHAMA DE MURCIA;MURCIA;20:30 - 21:00;5;5
6002;ALHAMA DE MURCIA;MURCIA;21:30 - 22:00;7;17
6002;ALHAMA DE MURCIA;MURCIA;22:30 - 23:00;0;14
6003;TOTANA;MURCIA;06:30 - 07:00;41;9
6003;TOTANA;MURCIA;07:00 - 07:30;56;4
6003;TOTANA;MURCIA;07:30 - 08:00;15;3
6003;TOTANA;MURCIA;08:00 - 08:30;2;8
6003;TOTANA;MURCIA;09:00 - 09:30;46;15
6003;TOTANA;MURCIA;10:00 - 10:30;32;10
6003;TOTANA;MURCIA;11:00 - 11:30;29;21
6003;TOTANA;MURCIA;12:00 - 12:30;16;19
6003;TOTANA;MURCIA;13:00 - 13:30;22;48
6003;TOTANA;MURCIA;14:00 - 14:30;54;56
6003;TOTANA;MURCIA;15:00 - 15:30;34;65
6003;TOTANA;MURCIA;16:00 - 16:30;18;11
6003;TOTANA;MURCIA;16:30 - 17:00;18;20
6003;TOTANA;MURCIA;17:00 - 17:30;24;14
6003;TOTANA;MURCIA;18:00 - 18:30;9;11
6003;TOTANA;MURCIA;18:30 - 19:00;11;18
6003;TOTANA;MURCIA;19:00 - 19:30;11;33
6003;TOTANA;MURCIA;20:30 - 21:00;13;43
6003;TOTANA;MURCIA;21:00 - 21:30;2;11
6003;TOTANA;MURCIA;21:30 - 22:00;3;20
6003;TOTANA;MURCIA;22:30 - 23:00;3;13
6004;LA HOYA;MURCIA;06:30 - 07:00;6;5
6004;LA HOYA;MURCIA;07:00 - 07:30;6;4
6004;LA HOYA;MURCIA;07:30 - 08:00;9;12
6004;LA HOYA;MURCIA;08:00 - 08:30;4;1
6004;LA HOYA;MURCIA;09:00 - 09:30;14;3
6004;LA HOYA;MURCIA;09:30 - 10:00;0;2
6004;LA HOYA;MURCIA;10:30 - 11:00;1;1
6004;LA HOYA;MURCIA;11:00 - 11:30;2;1
6004;LA HOYA;MURCIA;11:30 - 12:00;9;6
6004;LA HOYA;MURCIA;12:30 - 13:00;4;2
6004;LA HOYA;MURCIA;13:00 - 13:30;1;7
6004;LA HOYA;MURCIA;13:30 - 14:00;1;6
6004;LA HOYA;MURCIA;14:30 - 15:00;3;11
6004;LA HOYA;MURCIA;15:00 - 15:30;7;15
6004;LA HOYA;MURCIA;15:30 - 16:00;0;0
6004;LA HOYA;MURCIA;16:30 - 17:00;7;4
6004;LA HOYA;MURCIA;17:00 - 17:30;0;6
6004;LA HOYA;MURCIA;17:30 - 18:00;5;6
6004;LA HOYA;MURCIA;18:00 - 18:30;3;5
6004;LA HOYA;MURCIA;18:30 - 19:00;7;5
6004;LA HOYA;MURCIA;19:00 - 19:30;0;3
6004;LA HOYA;MURCIA;19:30 - 20:00;7;1
6004;LA HOYA;MURCIA;20:00 - 20:30;2;5
6004;LA HOYA;MURCIA;20:30 - 21:00;2;3
6004;LA HOYA;MURCIA;21:00 - 21:30;0;6
6004;LA HOYA;MURCIA;22:00 - 22:30;0;7
6004;LA HOYA;MURCIA;23:00 - 23:30;0;0
6005;LORCA-SAN DIEGO;MURCIA;06:30 - 07:00;21;0
6005;LORCA-SAN DIEGO;MURCIA;07:00 - 07:30;0;28
6005;LORCA-SAN DIEGO;MURCIA;07:30 - 08:00;31;14
6005;LORCA-SAN DIEGO;MURCIA;08:00 - 08:30;1;35
6005;LORCA-SAN DIEGO;MURCIA;08:30 - 09:00;10;0
6005;LORCA-SAN DIEGO;MURCIA;09:00 - 09:30;0;22
