CODIGO_ESTACION;NOMBRE_ESTACION;NUCLEO_CERCANIAS;TRAMO_HORARIO;VIAJEROS_SUBIDOS;VIAJEROS_BAJADOS
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;06:30 - 07:00;10;21
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;07:00 - 07:30;19;30
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;07:30 - 08:00;8;91
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;08:00 - 08:30;15;57
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;08:30 - 09:00;2;84
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;09:00 - 09:30;7;53
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;09:30 - 10:00;0;75
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;10:00 - 10:30;12;22
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;10:30 - 11:00;0;44
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;11:00 - 11:30;19;22
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;11:30 - 12:00;13;0
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;12:00 - 12:30;19;0
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;12:30 - 13:00;33;21
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;13:00 - 13:30;52;0
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;13:30 - 14:00;42;27
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;14:00 - 14:30;47;18
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;14:30 - 15:00;35;14
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;15:00 - 15:30;92;26
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;16:00 - 16:30;38;37
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;17:00 - 17:30;50;53
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;17:30 - 18:00;32;25
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;18:00 - 18:30;32;0
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;18:30 - 19:00;27;19
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;19:00 - 19:30;40;0
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;19:30 - 20:00;65;16
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;20:00 - 20:30;54;5
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;20:30 - 21:00;30;9
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;21:00 - 21:30;28;5
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;21:30 - 22:00;11;15
5451;BILBAO-LA CONCORDIA;PAIS VASCO AM;22:00 - 22:30;17;11
5455;BASURTO HOSPITAL;PAIS VASCO AM;06:30 - 07:00;2;13
5455;BASURTO HOSPITAL;PAIS VASCO AM;07:00 - 07:30;1;10
5455;BASURTO HOSPITAL;PAIS VASCO AM;07:30 - 08:00;6;17
5455;BASURTO HOSPITAL;PAIS VASCO AM;08:00 - 08:30;0;6
5455;BASURTO HOSPITAL;PAIS VASCO AM;08:30 - 09:00;0;29
5455;BASURTO HOSPITAL;PAIS VASCO AM;09:00 - 09:30;1;10
