CODIGO_ESTACION;NOMBRE_ESTACION;NUCLEO_CERCANIAS;TRAMO_HORARIO;VIAJEROS_SUBIDOS;VIAJEROS_BAJADOS
11305;BRINKOLA;SAN SEBASTIÁN;05:30 - 06:00;3;0
11305;BRINKOLA;SAN SEBASTIÁN;06:00 - 06:30;3;0
11305;BRINKOLA;SAN SEBASTIÁN;06:30 - 07:00;0;1
11305;BRINKOLA;SAN SEBASTIÁN;07:00 - 07:30;2;0
11305;BRINKOLA;SAN SEBASTIÁN;07:30 - 08:00;0;0
11305;BRINKOLA;SAN SEBASTIÁN;08:00 - 08:30;0;0
11305;BRINKOLA;SAN SEBASTIÁN;08:30 - 09:00;1;0
11305;BRINKOLA;SAN SEBASTIÁN;09:00 - 09:30;2;2
11305;BRINKOLA;SAN SEBASTIÁN;09:30 - 10:00;0;0
11305;BRINKOLA;SAN SEBASTIÁN;10:00 - 10:30;1;0
11305;BRINKOLA;SAN SEBASTIÁN;10:30 - 11:00;0;2
11305;BRINKOLA;SAN SEBASTIÁN;11:00 - 11:30;0;0
11305;BRINKOLA;SAN SEBASTIÁN;12:00 - 12:30;4;0
11305;BRINKOLA;SAN SEBASTIÁN;13:00 - 13:30;0;0
11305;BRINKOLA;SAN SEBASTIÁN;13:30 - 14:00;0;0
11305;BRINKOLA;SAN SEBASTIÁN;14:00 - 14:30;1;1
11305;BRINKOLA;SAN SEBASTIÁN;14:30 - 15:00;2;0
11305;BRINKOLA;SAN SEBASTIÁN;15:00 - 15:30;0;0
11305;BRINKOLA;SAN SEBASTIÁN;15:30 - 16:00;1;0
11305;BRINKOLA;SAN SEBASTIÁN;16:00 - 16:30;0;0
11305;BRINKOLA;SAN SEBASTIÁN;16:30 - 17:00;3;0
11305;BRINKOLA;SAN SEBASTIÁN;17:00 - 17:30;1;0
11305;BRINKOLA;SAN SEBASTIÁN;18:00 - 18:30;0;0
11305;BRINKOLA;SAN SEBASTIÁN;19:00 - 19:30;0;0
11305;BRINKOLA;SAN SEBASTIÁN;19:30 - 20:00;0;5
11305;BRINKOLA;SAN SEBASTIÁN;20:00 - 20:30;0;3
11305;BRINKOLA;SAN SEBASTIÁN;20:30 - 21:00;0;0
11305;BRINKOLA;SAN SEBASTIÁN;21:00 - 21:30;0;1
11305;BRINKOLA;SAN SEBASTIÁN;21:30 - 22:00;0;0
11305;BRINKOLA;SAN SEBASTIÁN;22:30 - 23:00;0;1
11305;BRINKOLA;SAN SEBASTIÁN;23:00 - 23:30;0;0
11306;LEGAZPI;SAN SEBASTIÁN;05:30 - 06:00;15;0
11306;LEGAZPI;SAN SEBASTIÁN;06:00 - 06:30;15;0
11306;LEGAZPI;SAN SEBASTIÁN;06:30 - 07:00;33;5
11306;LEGAZPI;SAN SEBASTIÁN;07:00 - 07:30;28;6
11306;LEGAZPI;SAN SEBASTIÁN;07:30 - 08:00;19;11
11306;LEGAZPI;SAN SEBASTIÁN;08:00 - 08:30;0;4
11306;LEGAZPI;SAN SEBASTIÁN;08:30 - 09:00;14;0
11306;LEGAZPI;SAN SEBASTIÁN;09:00 - 09:30;0;3
11306;LEGAZPI;SAN SEBASTIÁN;09:30 - 10:00;12;4
11306;LEGAZPI;SAN SEBASTIÁN;10:00 - 10:30;10;3
11306;LEGAZPI;SAN SEBASTIÁN;11:00 - 11:30;7;6
11306;LEGAZPI;SAN SEBASTIÁN;12:00 - 12:30;2;12
