CODIGO_ESTACION;NOMBRE_ESTACION;NUCLEO_CERCANIAS;TRAMO_HORARIO;VIAJEROS_SUBIDOS;VIAJEROS_BAJADOS
40113;CAZALLA-CONSTANTINA;SEVILLA;07:00 - 07:30;0;0
40113;CAZALLA-CONSTANTINA;SEVILLA;10:00 - 10:30;0;0
40113;CAZALLA-CONSTANTINA;SEVILLA;17:00 - 17:30;0;0
40113;CAZALLA-CONSTANTINA;SEVILLA;17:30 - 18:00;0;0
40113;CAZALLA-CONSTANTINA;SEVILLA;18:30 - 19:00;0;0
40115;PEDROSO;SEVILLA;06:30 - 07:00;0;0
40115;PEDROSO;SEVILLA;07:30 - 08:00;10;0
40115;PEDROSO;SEVILLA;10:00 - 10:30;6;0
40115;PEDROSO;SEVILLA;14:30 - 15:00;0;8
40115;PEDROSO;SEVILLA;15:00 - 15:30;8;0
40115;PEDROSO;SEVILLA;17:00 - 17:30;0;4
40115;PEDROSO;SEVILLA;18:00 - 18:30;3;1
40115;PEDROSO;SEVILLA;20:30 - 21:00;1;11
40119;VILLANUEVA DEL RIO-MINAS;SEVILLA;06:00 - 06:30;0;0
40119;VILLANUEVA DEL RIO-MINAS;SEVILLA;06:30 - 07:00;20;0
40119;VILLANUEVA DEL RIO-MINAS;SEVILLA;07:30 - 08:00;15;0
40119;VILLANUEVA DEL RIO-MINAS;SEVILLA;10:30 - 11:00;9;0
40119;VILLANUEVA DEL RIO-MINAS;SEVILLA;14:30 - 15:00;0;20
40119;VILLANUEVA DEL RIO-MINAS;SEVILLA;15:30 - 16:00;8;0
40119;VILLANUEVA DEL RIO-MINAS;SEVILLA;16:30 - 17:00;0;12
40119;VILLANUEVA DEL RIO-MINAS;SEVILLA;17:30 - 18:00;0;7
40119;VILLANUEVA DEL RIO-MINAS;SEVILLA;18:30 - 19:00;0;0
40119;VILLANUEVA DEL RIO-MINAS;SEVILLA;20:00 - 20:30;0;7
40119;VILLANUEVA DEL RIO-MINAS;SEVILLA;21:00 - 21:30;3;0
40121;ALCOLEA DEL RIO;SEVILLA;06:00 - 06:30;0;0
40121;ALCOLEA DEL RIO;SEVILLA;06:30 - 07:00;2;0
40121;ALCOLEA DEL RIO;SEVILLA;08:00 - 08:30;1;0
40121;ALCOLEA DEL RIO;SEVILLA;10:30 - 11:00;0;0
40121;ALCOLEA DEL RIO;SEVILLA;14:00 - 14:30;0;0
40121;ALCOLEA DEL RIO;SEVILLA;15:30 - 16:00;0;0
40121;ALCOLEA DEL RIO;SEVILLA;16:30 - 17:00;0;1
40121;ALCOLEA DEL RIO;SEVILLA;17:30 - 18:00;0;0
40121;ALCOLEA DEL RIO;SEVILLA;18:30 - 19:00;0;0
40121;ALCOLEA DEL RIO;SEVILLA;20:00 - 20:30;0;0
40121;ALCOLEA DEL RIO;SEVILLA;21:00 - 21:30;0;0
40122;TOCINA;SEVILLA;06:00 - 06:30;0;0
40122;TOCINA;SEVILLA;06:30 - 07:00;18;0
40122;TOCINA;SEVILLA;08:00 - 08:30;12;4
