CODIGO_ESTACION;NOMBRE_ESTACION;NUCLEO_CERCANIAS;TRAMO_HORARIO;VIAJEROS_SUBIDOS;VIAJEROS_BAJADOS
64003;MOIXENT;VALENCIA;06:00 - 06:30;9;0
64003;MOIXENT;VALENCIA;06:30 - 07:00;0;0
64003;MOIXENT;VALENCIA;07:00 - 07:30;5;0
64003;MOIXENT;VALENCIA;07:30 - 08:00;0;6
64003;MOIXENT;VALENCIA;08:00 - 08:30;4;0
64003;MOIXENT;VALENCIA;09:00 - 09:30;6;3
64003;MOIXENT;VALENCIA;10:00 - 10:30;0;9
64003;MOIXENT;VALENCIA;10:30 - 11:00;4;0
64003;MOIXENT;VALENCIA;11:00 - 11:30;0;5
64003;MOIXENT;VALENCIA;12:30 - 13:00;4;0
64003;MOIXENT;VALENCIA;13:00 - 13:30;0;8
64003;MOIXENT;VALENCIA;13:30 - 14:00;2;0
64003;MOIXENT;VALENCIA;14:30 - 15:00;4;7
64003;MOIXENT;VALENCIA;15:30 - 16:00;3;10
64003;MOIXENT;VALENCIA;16:30 - 17:00;5;1
64003;MOIXENT;VALENCIA;17:00 - 17:30;0;7
64003;MOIXENT;VALENCIA;18:30 - 19:00;3;0
64003;MOIXENT;VALENCIA;19:30 - 20:00;0;5
64003;MOIXENT;VALENCIA;20:00 - 20:30;0;5
64003;MOIXENT;VALENCIA;21:00 - 21:30;0;0
64003;MOIXENT;VALENCIA;22:00 - 22:30;0;2
64004;VALLADA;VALENCIA;06:00 - 06:30;2;0
64004;VALLADA;VALENCIA;06:30 - 07:00;0;0
64004;VALLADA;VALENCIA;07:00 - 07:30;2;1
64004;VALLADA;VALENCIA;07:30 - 08:00;1;0
64004;VALLADA;VALENCIA;08:00 - 08:30;4;0
64004;VALLADA;VALENCIA;08:30 - 09:00;2;1
64004;VALLADA;VALENCIA;09:00 - 09:30;4;0
64004;VALLADA;VALENCIA;10:00 - 10:30;1;2
64004;VALLADA;VALENCIA;11:00 - 11:30;1;5
64004;VALLADA;VALENCIA;13:00 - 13:30;4;2
64004;VALLADA;VALENCIA;14:00 - 14:30;2;1
64004;VALLADA;VALENCIA;15:00 - 15:30;2;6
64004;VALLADA;VALENCIA;16:00 - 16:30;3;1
64004;VALLADA;VALENCIA;17:00 - 17:30;1;2
64004;VALLADA;VALENCIA;19:00 - 19:30;1;1
64004;VALLADA;VALENCIA;20:00 - 20:30;0;3
64004;VALLADA;VALENCIA;21:30 - 22:00;0;3
64005;MONTESA;VALENCIA;06:30 - 07:00;0;0
64005;MONTESA;VALENCIA;07:30 - 08:00;1;0
64005;MONTESA;VALENCIA;08:30 - 09:00;0;2
64005;MONTESA;VALENCIA;09:30 - 10:00;3;0
64005;MONTESA;VALENCIA;11:00 - 11:30;4;1
64005;MONTESA;VALENCIA;13:00 - 13:30;0;1
64005;MONTESA;VALENCIA;14:00 - 14:30;0;1
64005;MONTESA;VALENCIA;15:00 - 15:30;1;1
64005;MONTESA;VALENCIA;16:00 - 16:30;1;0
64005;MONTESA;VALENCIA;17:00 - 17:30;2;0
64005;MONTESA;VALENCIA;19:00 - 19:30;1;1
64005;MONTESA;VALENCIA;20:00 - 20:30;0;4
64005;MONTESA;VALENCIA;21:30 - 22:00;0;2
64006;L'ALCUDIA;VALENCIA;05:00 - 05:30;0;1
64006;L'ALCUDIA;VALENCIA;05:30 - 06:00;16;1
64006;L'ALCUDIA;VALENCIA;06:00 - 06:30;0;0
64006;L'ALCUDIA;VALENCIA;06:30 - 07:00;70;12
64006;L'ALCUDIA;VALENCIA;07:00 - 07:30;0;33
64006;L'ALCUDIA;VALENCIA;07:30 - 08:00;90;0
64006;L'ALCUDIA;VALENCIA;08:00 - 08:30;42;15
64006;L'ALCUDIA;VALENCIA;08:30 - 09:00;38;10
64006;L'ALCUDIA;VALENCIA;09:00 - 09:30;45;0
64006;L'ALCUDIA;VALENCIA;09:30 - 10:00;59;27
64006;L'ALCUDIA;VALENCIA;10:00 - 10:30;31;20
64006;L'ALCUDIA;VALENCIA;10:30 - 11:00;35;23
64006;L'ALCUDIA;VALENCIA;11:00 - 11:30;9;14
64006;L'ALCUDIA;VALENCIA;11:30 - 12:00;8;25
64006;L'ALCUDIA;VALENCIA;12:00 - 12:30;8;31
64006;L'ALCUDIA;VALENCIA;12:30 - 13:00;11;19
64006;L'ALCUDIA;VALENCIA;13:00 - 13:30;11;19
64006;L'ALCUDIA;VALENCIA;13:30 - 14:00;30;50
64006;L'ALCUDIA;VALENCIA;14:00 - 14:30;12;58
64006;L'ALCUDIA;VALENCIA;14:30 - 15:00;43;37
64006;L'ALCUDIA;VALENCIA;15:00 - 15:30;21;40
64006;L'ALCUDIA;VALENCIA;15:30 - 16:00;36;31
64006;L'ALCUDIA;VALENCIA;16:00 - 16:30;25;31
64006;L'ALCUDIA;VALENCIA;16:30 - 17:00;16;20
64006;L'ALCUDIA;VALENCIA;17:00 - 17:30;18;30
64006;L'ALCUDIA;VALENCIA;17:30 - 18:00;22;41
64006;L'ALCUDIA;VALENCIA;18:00 - 18:30;8;24
64006;L'ALCUDIA;VALENCIA;18:30 - 19:00;20;20
64006;L'ALCUDIA;VALENCIA;19:00 - 19:30;2;32
64006;L'ALCUDIA;VALENCIA;19:30 - 20:00;5;34
64006;L'ALCUDIA;VALENCIA;20:00 - 20:30;1;24
64006;L'ALCUDIA;VALENCIA;20:30 - 21:00;2;18
64006;L'ALCUDIA;VALENCIA;21:00 - 21:30;10;27
64006;L'ALCUDIA;VALENCIA;21:30 - 22:00;3;30
64006;L'ALCUDIA;VALENCIA;22:00 - 22:30;4;5
64006;L'ALCUDIA;VALENCIA;22:30 - 23:00;0;2
64007;L'ENOVA-MANUEL;VALENCIA;05:30 - 06:00;1;0
64007;L'ENOVA-MANUEL;VALENCIA;06:00 - 06:30;0;0
64007;L'ENOVA-MANUEL;VALENCIA;06:30 - 07:00;12;1
64007;L'ENOVA-MANUEL;VALENCIA;07:00 - 07:30;13;2
64007;L'ENOVA-MANUEL;VALENCIA;07:30 - 08:00;1;0
64007;L'ENOVA-MANUEL;VALENCIA;08:00 - 08:30;6;2
64007;L'ENOVA-MANUEL;VALENCIA;08:30 - 09:00;14;1
64007;L'ENOVA-MANUEL;VALENCIA;09:00 - 09:30;9;2
64007;L'ENOVA-MANUEL;VALENCIA;09:30 - 10:00;3;0
64007;L'ENOVA-MANUEL;VALENCIA;10:00 - 10:30;9;3
64007;L'ENOVA-MANUEL;VALENCIA;10:30 - 11:00;0;0
64007;L'ENOVA-MANUEL;VALENCIA;11:00 - 11:30;4;0
64007;L'ENOVA-MANUEL;VALENCIA;11:30 - 12:00;2;2
64007;L'ENOVA-MANUEL;VALENCIA;12:00 - 12:30;2;0
64007;L'ENOVA-MANUEL;VALENCIA;12:30 - 13:00;4;2
64007;L'ENOVA-MANUEL;VALENCIA;13:00 - 13:30;3;4
64007;L'ENOVA-MANUEL;VALENCIA;13:30 - 14:00;4;6
64007;L'ENOVA-MANUEL;VALENCIA;14:00 - 14:30;4;6
64007;L'ENOVA-MANUEL;VALENCIA;14:30 - 15:00;2;1
64007;L'ENOVA-MANUEL;VALENCIA;15:00 - 15:30;4;13
64007;L'ENOVA-MANUEL;VALENCIA;15:30 - 16:00;0;2
64007;L'ENOVA-MANUEL;VALENCIA;16:00 - 16:30;2;11
64007;L'ENOVA-MANUEL;VALENCIA;16:30 - 17:00;2;2
64007;L'ENOVA-MANUEL;VALENCIA;17:00 - 17:30;0;7
64007;L'ENOVA-MANUEL;VALENCIA;17:30 - 18:00;2;6
64007;L'ENOVA-MANUEL;VALENCIA;18:00 - 18:30;0;5
