CODIGO_ESTACION;NOMBRE_ESTACION;NUCLEO_CERCANIAS;TRAMO_HORARIO;VIAJEROS_SUBIDOS;VIAJEROS_BAJADOS
4040;ZARAGOZA DELICIAS;ZARAGOZA;06:00 - 06:30;3;0
4040;ZARAGOZA DELICIAS;ZARAGOZA;07:00 - 07:30;3;10
4040;ZARAGOZA DELICIAS;ZARAGOZA;07:30 - 08:00;4;21
4040;ZARAGOZA DELICIAS;ZARAGOZA;08:00 - 08:30;0;15
4040;ZARAGOZA DELICIAS;ZARAGOZA;08:30 - 09:00;37;19
4040;ZARAGOZA DELICIAS;ZARAGOZA;09:00 - 09:30;4;6
4040;ZARAGOZA DELICIAS;ZARAGOZA;09:30 - 10:00;5;10
4040;ZARAGOZA DELICIAS;ZARAGOZA;10:00 - 10:30;5;6
4040;ZARAGOZA DELICIAS;ZARAGOZA;10:30 - 11:00;1;2
4040;ZARAGOZA DELICIAS;ZARAGOZA;11:00 - 11:30;13;5
4040;ZARAGOZA DELICIAS;ZARAGOZA;11:30 - 12:00;2;0
4040;ZARAGOZA DELICIAS;ZARAGOZA;12:00 - 12:30;2;1
4040;ZARAGOZA DELICIAS;ZARAGOZA;12:30 - 13:00;7;3
4040;ZARAGOZA DELICIAS;ZARAGOZA;13:00 - 13:30;10;2
4040;ZARAGOZA DELICIAS;ZARAGOZA;13:30 - 14:00;3;5
4040;ZARAGOZA DELICIAS;ZARAGOZA;14:00 - 14:30;4;30
4040;ZARAGOZA DELICIAS;ZARAGOZA;14:30 - 15:00;1;3
4040;ZARAGOZA DELICIAS;ZARAGOZA;15:00 - 15:30;4;1
4040;ZARAGOZA DELICIAS;ZARAGOZA;15:30 - 16:00;3;6
4040;ZARAGOZA DELICIAS;ZARAGOZA;16:00 - 16:30;8;8
4040;ZARAGOZA DELICIAS;ZARAGOZA;16:30 - 17:00;5;2
4040;ZARAGOZA DELICIAS;ZARAGOZA;17:00 - 17:30;6;5
4040;ZARAGOZA DELICIAS;ZARAGOZA;17:30 - 18:00;5;10
4040;ZARAGOZA DELICIAS;ZARAGOZA;18:00 - 18:30;7;1
4040;ZARAGOZA DELICIAS;ZARAGOZA;18:30 - 19:00;3;8
4040;ZARAGOZA DELICIAS;ZARAGOZA;19:00 - 19:30;1;4
4040;ZARAGOZA DELICIAS;ZARAGOZA;19:30 - 20:00;2;3
4040;ZARAGOZA DELICIAS;ZARAGOZA;20:00 - 20:30;8;3
4040;ZARAGOZA DELICIAS;ZARAGOZA;20:30 - 21:00;9;7
4040;ZARAGOZA DELICIAS;ZARAGOZA;21:00 - 21:30;0;5
4040;ZARAGOZA DELICIAS;ZARAGOZA;21:30 - 22:00;2;1
4040;ZARAGOZA DELICIAS;ZARAGOZA;22:00 - 22:30;3;2
4040;ZARAGOZA DELICIAS;ZARAGOZA;22:30 - 23:00;3;0
4040;ZARAGOZA DELICIAS;ZARAGOZA;23:00 - 23:30;0;0
70800;CASETAS;ZARAGOZA;06:30 - 07:00;0;0
70800;CASETAS;ZARAGOZA;07:00 - 07:30;3;0
70800;CASETAS;ZARAGOZA;07:30 - 08:00;0;3
70800;CASETAS;ZARAGOZA;08:00 - 08:30;3;1
70800;CASETAS;ZARAGOZA;08:30 - 09:00;6;4
70800;CASETAS;ZARAGOZA;09:00 - 09:30;1;0
70800;CASETAS;ZARAGOZA;09:30 - 10:00;0;1
70800;CASETAS;ZARAGOZA;10:00 - 10:30;1;1
70800;CASETAS;ZARAGOZA;11:00 - 11:30;1;3
70800;CASETAS;ZARAGOZA;12:00 - 12:30;2;1
70800;CASETAS;ZARAGOZA;13:00 - 13:30;2;3
70800;CASETAS;ZARAGOZA;14:00 - 14:30;5;2
70800;CASETAS;ZARAGOZA;14:30 - 15:00;0;0
70800;CASETAS;ZARAGOZA;15:00 - 15:30;2;2
70800;CASETAS;ZARAGOZA;16:00 - 16:30;5;1
70800;CASETAS;ZARAGOZA;16:30 - 17:00;0;3
70800;CASETAS;ZARAGOZA;17:00 - 17:30;0;3
70800;CASETAS;ZARAGOZA;17:30 - 18:00;3;0
70800;CASETAS;ZARAGOZA;18:00 - 18:30;0;4
70800;CASETAS;ZARAGOZA;18:30 - 19:00;2;0
70800;CASETAS;ZARAGOZA;19:00 - 19:30;2;6
70800;CASETAS;ZARAGOZA;19:30 - 20:00;0;1
70800;CASETAS;ZARAGOZA;20:00 - 20:30;2;2
70800;CASETAS;ZARAGOZA;20:30 - 21:00;0;1
70800;CASETAS;ZARAGOZA;21:00 - 21:30;0;0
70800;CASETAS;ZARAGOZA;22:00 - 22:30;0;6
70800;CASETAS;ZARAGOZA;22:30 - 23:00;0;0
70801;UTEBO;ZARAGOZA;06:30 - 07:00;0;5
70801;UTEBO;ZARAGOZA;07:00 - 07:30;24;3
70801;UTEBO;ZARAGOZA;07:30 - 08:00;47;18
70801;UTEBO;ZARAGOZA;08:00 - 08:30;37;7
70801;UTEBO;ZARAGOZA;08:30 - 09:00;15;15
70801;UTEBO;ZARAGOZA;09:00 - 09:30;22;11
70801;UTEBO;ZARAGOZA;09:30 - 10:00;8;5
70801;UTEBO;ZARAGOZA;10:00 - 10:30;22;0
70801;UTEBO;ZARAGOZA;10:30 - 11:00;0;7
70801;UTEBO;ZARAGOZA;11:00 - 11:30;10;0
70801;UTEBO;ZARAGOZA;11:30 - 12:00;0;11
70801;UTEBO;ZARAGOZA;12:00 - 12:30;12;0
70801;UTEBO;ZARAGOZA;12:30 - 13:00;0;17
