 CÓDIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECCIÓN;C.P.;POBLACION;PROVINCIA;Fichas;Túneles lavado
15205;ABLAÑA;43.267258;-5.805951;CALLE ESTACION FERROCARRIL, S/N;33650;Mieres;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15205.pdf;
16403;AVILES;43.561305;-5.92845;AVENIDA DE LOS TELARES, S/N;33409;Avilés;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion16403.pdf;
16006;BARROS;43.317814;-5.710915;CALLE ESTACION FERROCARRIL, 64;33934;Langreo;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion16006.pdf;
15401;CALZADA DE ASTURIAS;43.5354196;-5.7020946;AVENIDA DE JUAN CARLOS I, S/N;33211;Gijón;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15401.pdf;
15120;CAMPOMANES;43.109795;-5.816311;CALLE ESTACION FERROCARRIL, 22;33620;Lena;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15120.pdf;
16302;CANCIENES;43.507328;-5.869244;CARRETERA DE LA CHUSCA, 205;33470;Corvera de Asturias;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion16302.pdf;
16010;CIAÑO;43.289447;-5.668314;CALLE INFANZONES DE LANGREO, S/N;33900;Langreo;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion16010.pdf;
15210;EL CALEYO;43.329339;-5.872649;CALLE EL LUGAR CALEYO, S/N;33171;Oviedo;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15210.pdf;
16011;EL ENTREGO;43.287207;-5.644622;AVDA DEL PARQUE S/N;33948;San Martín del Rey Aurelio;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion16011.pdf;
16301;FERROÑES;43.476033;-5.861619;CALLE ESTACION FERROCARRIL S/N;33470;Llanera;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion16301.pdf;
15410;GIJON-SANZ CRESPO;43.5377426;-5.6759041;CALLE SANZ CRESPO, S/N;33207;Gijón;Asturias;;
15121;LA COBERTORIA;43.130103;-5.815789;CARRETERA LN-4 - ESTACION FERROCARRIL, S/N;33630;Lena;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15121.pdf;
15217;LA CORREDORIA;43.387845;-5.826901;CALLE DOCTOR INGENIERO FRANCISCO PINTADO, S/N;33011;Oviedo;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15217.pdf;
16008;LA FELGUERA;43.3048;-5.69277;CALLE INVENTOR LA CIERVA, S/N;33930;Langreo;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion16008.pdf;
15119;LA FRECHA;43.096144;-5.798524;CARRETERA N-630 - ESTACION FERROCARRIL, S/N;33629;Lena;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15119.pdf;
15206;LA PEREDA-RIOSA;43.277052;-5.812251;CARRETERA N-630 - ESTACION FERROCARRIL, S/N;33682;Mieres;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15206.pdf;
16402;LA ROCICA;43.547083;-5.904691;CALLE AVILES, S/N;33403;Avilés;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion16402.pdf;
15209;LAS SEGADAS;43.313263;-5.869354;N630 AP. DE RENFE;33171;Ribera de Arriba;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15209.pdf;
15218;LLAMAQUIQUE;43.358811;-5.857334;CALLE TRECE ROSAS, S/N;33005;Oviedo;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15218.pdf;
16408;LOS CAMPOS;43.536767;-5.885097;CALLE MARIA JOSEFA CANELLADA, S/N;33404;Corvera de Asturias;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion16408.pdf;
15300;LUGO DE LLANERA;43.442298;-5.815972;CALLE JOSE MANUEL BOBES, S/N;33690;Llanera;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15300.pdf;
15212;LUGONES;43.404267;-5.811847;TRAVESIA TARTIERE, 2;33420;Siero;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15212.pdf;
15203;MIERES-PUENTE;43.250045;-5.782256;BARRIO GONZALIN, 1;33600;Mieres;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15203.pdf;
15303;MONTEANA;43.520827;-5.746368;BARRIO MONTEANA - ESTACION FERROCARRIL, S/N;33691;Gijón;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15303.pdf;
16400;NUBLEDO;43.523338;-5.870194;CARRETERA AS-17 - ESTACION FERROCARRIL, S/N;33416;Corvera de Asturias;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion16400.pdf;
15207;OLLONIEGO;43.296118;-5.818875;CARRETERA AS-242 - ESTACION FERROCARRIL, S/N;33660;Oviedo;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15207.pdf;
