 CÓDIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECCIÓN;C.P.;POBLACION;PROVINCIA;Fichas;Túneles lavado
13118;ABAROA-SAN MIGUEL;43.225606;-2.886924;ELEUTERIO VILLAVERDE ETORBIDEA, S/N;48970;Basauri;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13118.pdf;
13206;AMETZOLA;43.254667;-2.943635;ETORBIDEA FERROCARRIL, S/N;48012;Bilbao;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13206.pdf;
13101;AMURRIO;43.049155;-3.001748;KALEA DIONISIO ALDAMA, 15;1470;Amurrio;Araba/Álava;https://data.renfe.com/files/estaciones/FichaEstacion13101.pdf;
13121;AMURRIO IPARRALDE;43.05771;-2.996331;JUAN DE ARANOA KALEA, S/N;1470;Amurrio;Araba/Álava;https://data.renfe.com/files/estaciones/FichaEstacion13121.pdf;
13117;ARAKALDO;43.15357;-2.938221;USILARRA ERREPIDEA, S/N;48498;Arakaldo;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13117.pdf;
13108;ARBIDE;43.163173;-2.927623;ROTALDE AUZOA, S/N;48498;Arrankudiaga;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13108.pdf;
13107;ARETA;43.145122;-2.94342;ESTACION BIDEA, 4;1400;Laudio/Llodio;Araba/Álava;https://data.renfe.com/files/estaciones/FichaEstacion13107.pdf;
13109;ARRANKUDIAGA;43.16988;-2.91828;IBERLANDA AUZOA, S/N;48498;Arrankudiaga;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13109.pdf;
13111;ARRIGORRIAGA;43.21006;-2.88857;PASEO URGOITI KALEA, 4;48480;Arrigorriaga;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13111.pdf;
13207;AUTONOMIA;43.258205;-2.945869;MARIA DIAZ HAROKO KALEA, 62;48010;Bilbao;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13207.pdf;
13115;BAKIOLA;43.176987;-2.909108;BAKIOLA AUZOA, 3;48498;Arrankudiaga;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13115.pdf;
13112;BASAURI;43.223386;-2.882221;URIARTE KALEA, S/N;48970;Basauri;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13112.pdf;
13113;BIDEBIETA-BASAURI;43.236921;-2.889554;PIRU GAINZA KALEA, 11;48970;Basauri;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13113.pdf;
13400;DESERTU-BARAKALDO;43.3000166;-2.983836;PLAZA EL DESIERTO, 7;48901;Barakaldo;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13400.pdf;
13501;GALINDO;43.304116;-3.010176;MARKONZAGA PARKEA, S/N;48910;Sestao;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13501.pdf;
13508;GALLARTA;43.319311;-3.067437;NAFARROA KALEA, S/N;48530;Abanto y Ciérvana-Abanto Zierbena;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13508.pdf;
13200;INTERMODAL ABANDO INDALECIO PRIETO;43.2607242;-2.9273929;PLAZA CIRCULAR, 2;48008;Bilbao;Bizkaia;;
13116;IÑARRATXU;43.035792;-3.003896;SARATXO ENTITATEA, S/N;1470;Amurrio;Araba/Álava;https://data.renfe.com/files/estaciones/FichaEstacion13116.pdf;
13402;LA IBERIA;43.312743;-3.004712;SOTERA DE LA MIER KALEA, S/N;48910;Sestao;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13402.pdf;
13119;LA PEÑA DE BILBAO;43.24018;-2.924057;MALMASIN KALEA, 2;48003;Bilbao;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13119.pdf;
13106;LLODIO;43.14236;-2.960654;JOSE MATIA KALEA, S/N;1400;Laudio/Llodio;Araba/Álava;https://data.renfe.com/files/estaciones/FichaEstacion13106.pdf;
13103;LUIAONDO;43.093579;-2.999671;OLOSTE KALEA, S/N;1408;Ayala/Aiara;Araba/Álava;https://data.renfe.com/files/estaciones/FichaEstacion13103.pdf;
13305;LUTXANA-BARAKALDO;43.287708;-2.97542;ZUMALAKARREGUI KALEA, 4;48903;Barakaldo;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13305.pdf;
13120;MIRIBILLA;43.250372;-2.923051;SANTIAGO DE COMPOSTELA KALEA, 12;48003;Bilbao;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13120.pdf;
13506;MUSKIZ;43.321406;-3.112384;ESTACION KALEA, 13;48550;Muskiz;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13506.pdf;
13303;OLABEAGA;43.264345;-2.955073;SAN NIKOLAS DE OLABEAGA KALEA, 23;48013;Bilbao;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13303.pdf;
13114;OLLARGAN;43.242449;-2.916527;SANTA ISABEL KALEA, 52;48003;Arrigorriaga;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13114.pdf;
13100;ORDUÑA;42.994624;-3.015809;LA ESTACION KALEA, 2;48460;Urduña/Orduña;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13100.pdf;
13504;ORTUELLA;43.311499;-3.060417;LA ESTACION HIRIBIDEA, S/N;48530;Ortuella;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13504.pdf;
13404;PEÑOTA;43.326331;-3.023458;REINA VICTORIA IBILBIDEA, S/N;48980;Santurtzi;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13404.pdf;
13403;PORTUGALETE;43.318625;-3.014985;MANUEL CALVO KALEA, 24;48920;Portugalete;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13403.pdf;
13505;PUTXETA;43.31579;-3.09131;PUTXETA AUZOA, 17;48540;Abanto y Ciérvana-Abanto Zierbena;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13505.pdf;
13509;SAGRADA FAMILIA;43.308612;-3.05369;BARRIO GOLIFAR, S/N;48530;Ortuella;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13509.pdf;
13102;SALBIO;43.074147;-2.999397;URRIETA KALEA, S/N;1470;Amurrio;Araba/Álava;https://data.renfe.com/files/estaciones/FichaEstacion13102.pdf;
13208;SAN MAMES;43.261638;-2.948773;JUAN ANTONIO ZUNZUNEGUI ETORBIDEA, 1;48013;Bilbao;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13208.pdf;
13104;SANTA CRUZ DE LLODIO;43.132826;-2.969878;POLIGONO INDRUSTRIALDEA, S/N;1400;Laudio/Llodio;Araba/Álava;https://data.renfe.com/files/estaciones/FichaEstacion13104.pdf;
13405;SANTURTZI;43.328755;-3.030183;SANTURTZIKO KALEA, S/N;48980;Santurtzi;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13405.pdf;
13401;SESTAO;43.30842;-2.993968;RIVAS KALEA, 52;48910;Sestao;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13401.pdf;
13502;TRAPAGA;43.302793;-3.017333;BARRIO GALINDO, S/N;48510;Valle de Trápaga-Trapagaran;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13502.pdf;
13110;UGAO-MIRABALLES;43.179033;-2.902692;TORRE DE UGAO KALEA, 23;48490;Ugao-Miraballes;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13110.pdf;
13507;URIOSTE;43.307526;-3.041078;BARRIO GRUPO AIEGA, S/N;48530;Ortuella;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13507.pdf;
13503;VALLE DE TRAPAGA/TRAPAGARAN;43.301466;-3.028746;POLIGONO INDRUSTRIAL ARKOTXA, S/N;48510;Valle de Trápaga-Trapagaran;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13503.pdf;
13205;ZABALBURU;43.256002;-2.932707;CALE GARCIA SALAZAR KALEA, S/N;48003;Bilbao;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13205.pdf;
