 CÓDIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECCIÓN;C.P.;POBLACION;PROVINCIA;Fichas;Túneles lavado
51205;AEROPUERTO DE JEREZ;36.751541;-6.065939;CARRETERA A-4 - SALIDA 628;11407;Jerez de la Frontera;Cádiz;https://data.renfe.com/files/estaciones/FichaEstacion51205.pdf;
51405;CADIZ;36.52968;-6.288858;PLAZA DE SEVILLA, S/N;11006;Cádiz;Cádiz;;
51407;CORTADURA;36.486436;-6.264546;CALLE ADELFA, S/N;11011;Cádiz;Cádiz;https://data.renfe.com/files/estaciones/FichaEstacion51407.pdf;
51409;ESTADIO;36.5067726;-6.265297;AVENIDA JUAN CARLOS I, S/N;11010;Cádiz;Cádiz;https://data.renfe.com/files/estaciones/FichaEstacion51409.pdf;
51300;JEREZ DE LA FRONTERA;36.680069;-6.126763;PLAZA ESTACION FERROCARRIL, S/N;11401;Jerez de la Frontera;Cádiz;;
51415;LAS ALETAS;36.544106;-6.198661;CARRETERA CA-32 - POLIGONO LAS ALETAS - ESTACION FERROCARRIL, S/N;11510;Puerto Real;Cádiz;https://data.renfe.com/files/estaciones/FichaEstacion51415.pdf;
51400;PUERTO DE SANTA MARIA;36.604017;-6.217919;AVENIDA DEL MONASTERIO, S/N;11500;Puerto de Santa María, El;Cádiz;https://data.renfe.com/files/estaciones/FichaEstacion51400.pdf;
51401;PUERTO REAL;36.530968;-6.18559;CARRETERA DE CIRCUNVALACION - CALLE TIERRA, S/N;11510;Puerto Real;Cádiz;https://data.renfe.com/files/estaciones/FichaEstacion51401.pdf;
51406;SAN FERNANDO-BAHIA SUR;36.4711129;-6.2047354;AVENIDA DEL FERROCARRIL, S/N;11100;San Fernando;Cádiz;https://data.renfe.com/files/estaciones/FichaEstacion51406.pdf;
51402;SAN FERNANDO-CENTRO;36.4757355;-6.1934067;PLAZA ESTACION FERROCARRIL, S/N;11100;San Fernando;Cádiz;https://data.renfe.com/files/estaciones/FichaEstacion51402.pdf;
51414;SAN SEVERIANO;36.5210056;-6.2801328;AVENIDA JUAN CARLOS I, S/N;11007;Cádiz;Cádiz;https://data.renfe.com/files/estaciones/FichaEstacion51414.pdf;
51404;SEGUNDA AGUADA;36.5139086;-6.2768802;AVENIDA JUAN CARLOS I, S/N;11012;Cádiz;Cádiz;https://data.renfe.com/files/estaciones/FichaEstacion51404.pdf;
51416;UNIVERSIDAD DE CADIZ;36.5307956;-6.2040894;CALLE FRANCIA - POLIGONO INDUSTRIAL TROCADERO, S/N;11510;Puerto Real;Cádiz;https://data.renfe.com/files/estaciones/FichaEstacion51416.pdf;
51417;VALDELAGRANA;36.5814195;-6.2034911;CALLE LANZAROTE, S/N;11500;Puerto de Santa María, El;Cádiz;https://data.renfe.com/files/estaciones/FichaEstacion51417.pdf;
