 CÓDIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECCIÓN;C.P.;POBLACION;PROVINCIA;Fichas;Túneles lavado
11409;ALEGIA;43.101758;-2.097122;BIDEBERRIETA KALEA, 4;20260;Alegia;Gipuzkoa;https://data.renfe.com/files/estaciones/FichaEstacion11409.pdf;
11505;ANDOAIN;43.222209;-2.015183;ARANTZIBIA KALEA, S/N;20140;Andoain;Gipuzkoa;https://data.renfe.com/files/estaciones/FichaEstacion11505.pdf;
11504;ANDOAIN-CENTRO;43.215536;-2.020428;KALEBERRIA KALEA, 34;20140;Andoain;Gipuzkoa;https://data.renfe.com/files/estaciones/FichaEstacion11504.pdf;
11502;ANOETA;43.162515;-2.070541;SAN JUAN KALEA, S/N;20270;Anoeta;Gipuzkoa;https://data.renfe.com/files/estaciones/FichaEstacion11502.pdf;
11513;ATEGORRIETA;43.32031;-1.959835;ZUBIAURRE PASEALEKUA, 27;20013;Donostia/San Sebastián;Gipuzkoa;https://data.renfe.com/files/estaciones/FichaEstacion11513.pdf;
11404;BEASAIN;43.046255;-2.202383;BARRENDAIN PLAZA, 1;20200;Beasain;Gipuzkoa;https://data.renfe.com/files/estaciones/FichaEstacion11404.pdf;
11503;BILLABONA-ZIZURKIL;43.189202;-2.055365;AURRERA PLAZA, 5;20150;Villabona;Gipuzkoa;https://data.renfe.com/files/estaciones/FichaEstacion11503.pdf;
11305;BRINKOLA;43.018953;-2.334606;CALLE ESTACION FERROCARRIL S/N;20220;Oñati;Gipuzkoa;https://data.renfe.com/files/estaciones/FichaEstacion11305.pdf;
11512;GROS;43.321736;-1.974092;MISERICORDIA KALEA, 7;20001;Donostia/San Sebastián;Gipuzkoa;https://data.renfe.com/files/estaciones/FichaEstacion11512.pdf;
11508;HERNANI;43.272525;-1.963748;BESTIZAN KALEA, S/N;20120;Hernani;Gipuzkoa;https://data.renfe.com/files/estaciones/FichaEstacion11508.pdf;
11507;HERNANI-CENTRO;43.265649;-1.973388;ANTZIETA KALEA, S/N;20120;Hernani;Gipuzkoa;https://data.renfe.com/files/estaciones/FichaEstacion11507.pdf;
11514;HERRERA;43.319364;-1.937041;HERRERA PASEALEKUA, 3;20017;Donostia/San Sebastián;Gipuzkoa;https://data.renfe.com/files/estaciones/FichaEstacion11514.pdf;
11408;IKAZTEGIETA;43.094043;-2.125586;SAN LORENZO AUZUNEA, 18;20267;Ikaztegieta;Gipuzkoa;https://data.renfe.com/files/estaciones/FichaEstacion11408.pdf;
11522;INTXAURRONDO;43.320025;-1.951797;ZUBIARRE PASEALEKUA, S/N;20015;Donostia/San Sebastián;Gipuzkoa;https://data.renfe.com/files/estaciones/FichaEstacion11522.pdf;
11600;IRUN;43.3394957;-1.8012734;CALLE ESTACION FERROCARRIL, S/N;20301;Irun;Gipuzkoa;;
