 CÓDIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECCIÓN;C.P.;POBLACION;PROVINCIA;Fichas;Túneles lavado
14235;ARENAS DE IGUÑA;43.185086;-4.050081;AVENIDA GENERAL - ESTACION FERROCARRIL, S/N;39450;Arenas de Iguña;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14235.pdf;
14206;BARCENA;43.128707;-4.053482;CALLE DOÑINI, 17;39420;Bárcena de Pie de Concha;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14206.pdf;
14219;BOO;43.410441;-3.841633;CALLE BOO, 42;39691;Astillero, El;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14219.pdf;
14218;GUARNIZO;43.391504;-3.859458;CALLE RAMON Y CAJAL, S/N;39611;Astillero, El;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14218.pdf;
14203;LANTUENO-SANTIURDE;43.05833;-4.084054;CALLE LANTUENO, 82 - CARRETERA N-611 - ESTACION FERROCARRIL, S/N;39490;Santiurde de Reinosa;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14203.pdf;
14211;LAS CALDAS DE BESAYA;43.298604;-4.073236;CARRETERA S-601 - ESTACION FERROCARRIL, S/N;39460;Corrales de Buelna, Los;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14211.pdf;
14209;LAS FRAGUAS;43.1930555;-4.0539379;CALLE COLLANTES, 48;39450;Arenas de Iguña;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14209.pdf;
14232;LOMBERA;43.265804;-4.067629;CALLE SAN CIPRIANO, S/N;39400;Corrales de Buelna, Los;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14232.pdf;
14210;LOS CORRALES DE BUELNA;43.255118;-4.063984;CALLE MIES DEL AGUA CENTRO, 163;39400;Corrales de Buelna, Los;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14210.pdf;
14220;MALIAÑO;43.417494;-3.842065;AVENIDA DE CANTABRIA, S/N;39600;Camargo;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14220.pdf;
14207;MOLLEDO-PORTOLIN;43.145511;-4.039036;CARRETERA CA-710 - ESTACION FERROCARRIL, S/N;39430;Molledo;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14207.pdf;
14237;MURIEDAS-BAHIA;43.421714;-3.844141;CALLE EL CARMEN, S/N;39600;Camargo;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14237.pdf;
14231;NUEVA MONTAÑA;43.444727;-3.847197;BARRIO SAN MARTIN DEL PINO, S/N;39011;Santander;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14231.pdf;
14217;PARBAYON;43.37672;-3.89421;BARRIO EL JURRIO, S/N;39612;Piélagos;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14217.pdf;
14204;PESQUERA;43.0823;-4.073829;CALLE VENTORRILLO, 32;39491;Pesquera;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14204.pdf;
14234;PUJAYO;43.122883;-4.082437;CARRETERA A PUJAYO - ESTACION FERROCARRIL, S/N;39420;Bárcena de Pie de Concha;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14234.pdf;
14202;REINOSA;42.9946234;-4.1400411;PLAZA DE LAS ESTACIONES, 1;39200;Reinosa;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14202.pdf;
14216;RENEDO;43.352978;-3.94947;AVENIDA LUIS DE LA CONCHA, 1;39470;Piélagos;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14216.pdf;
14233;RIO EBRO;43.000769;-4.134507;CALLE DUQUE Y MERINO, S/N;39200;Reinosa;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14233.pdf;
14208;SANTA CRUZ DE IGUÑA;43.170121;-4.045069;BARRIO DE LA SERNA, S/N;39450;Molledo;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14208.pdf;
14223;SANTANDER;43.458572;-3.811063;PLAZA DE LAS ESTACIONES, S/N;39002;Santander;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14223.pdf;
14214;SIERRAPANDO;43.341713;-4.026634;BARRIO OCHOS, 427;39317;Torrelavega;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14214.pdf;
14213;TORRELAVEGA;43.3274414;-4.0426551;URBANIZACION SANTA ANA, S/N;39300;Torrelavega;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14213.pdf;
14230;VALDECILLA;43.454;-3.82794;AVENIDA CANDINA, S/N;39011;Santander;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14230.pdf;
14212;VIERNOLES;43.324497;-4.054008;CARRETERA A-67 - ESTACION FERROCARRIL, S/N;39315;Torrelavega;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14212.pdf;
14236;VIOÑO;43.36063;-3.964785;CARRETERA CA-321 - BARRIO SAN LORENZO, S/N;39479;Piélagos;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14236.pdf;
14215;ZURITA;43.347705;-3.99101;BARRIO SAN MARTIN, S/N;39479;Piélagos;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14215.pdf;
