 CÓDIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECCIÓN;C.P.;POBLACION;PROVINCIA;Fichas;Túneles lavado
65005;ALBUIXECH;39.5441373;-0.320388;AVENIDA VIRGEN ALBUIXECH, 23;46550;Albuixech;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion65005.pdf;
66211;ALDAIA;39.4614203;-0.4612243;CARRER LLUIS PORTAVELLA, 1;46960;Aldaia;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion66211.pdf;
64203;ALFAFAR-BENETUSSER;39.4218996;-0.3930134;DOCTOR ANTONIO MUÑOZ, S/N;46910;Benetússer;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion64203.pdf;
64105;ALGEMESI;39.1945808;-0.4407954;CALLE ESTACION FERROCARRIL, S/N;46680;Algemesí;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion64105.pdf;
67216;ALGIMIA-CIUDAD;39.7460335;-0.3672437;CARRER PICAIO, S/N;46148;Algimia de Alfara;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion67216.pdf;
65209;ALMASSORA;39.9543523;-0.0775039;CARRER ESTACIO FERROCARRIL, S/N;12550;Almazora/Almassora;Castellón/Castelló;https://data.renfe.com/files/estaciones/FichaEstacion65209.pdf;
65202;ALMENARA;39.7522591;-0.2156704;CALLE ESTACION FERROCARRIL, S/N;12590;Almenara;Castellón/Castelló;https://data.renfe.com/files/estaciones/FichaEstacion65202.pdf;
64104;ALZIRA;39.1519351;-0.4512296;CALLE ESTACION FERROCARRIL, S/N;46600;Alzira;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion64104.pdf;
64107;BENIFAIO;39.2865962;-0.4300849;PLAZA ESTACION FERROCARRIL, S/N;46450;Benifaió;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion64107.pdf;
66206;BUÑOL;39.4273336;-0.7875467;CALLE ESTACION FERROCARRIL, S/N;46370;Buñol;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion66206.pdf;
65207;BURRIANA-ALQUERIAS DEL NIÑO PERDIDO;39.895253;-0.1056377;CALLE ESTACION FERROCARRIL, S/N;12530;Borriana/Burriana;Castellón/Castelló;https://data.renfe.com/files/estaciones/FichaEstacion65207.pdf;
64103;CARCAIXENT;39.1182487;-0.4547076;GLORIETA ESTACION FERROCARRIL, S/N;46740;Carcaixent;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion64103.pdf;
65300;CASTELLO DE LA PLANA;39.988259;-0.052266;CALLE PINTOR OLIET, 2;12006;Castellón de la Plana/Castelló de la Plana;Castellón/Castelló;;
64201;CATARROJA;39.3994659;-0.3994599;RONDA DEL ESTE, S/N;46470;Catarroja;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion64201.pdf;
67211;CAUDIEL;39.94733;-0.572027;AVENIDA ESTACION, 15;12440;Caudiel;Castellón/Castelló;https://data.renfe.com/files/estaciones/FichaEstacion67211.pdf;
66208;CHESTE;39.4902567;-0.6876734;PLAZA MAESTRO SERRANO, 2;46380;Cheste;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion66208.pdf;
65204;CHILCHES;39.7812077;-0.1917555;PLAZA JARDIN, S/N;12592;Chilches/Xilxes;Castellón/Castelló;https://data.renfe.com/files/estaciones/FichaEstacion65204.pdf;
66207;CHIVA;39.4706442;-0.7232841;AVENIDA ESTACION FERROCARRIL, S/N;46370;Chiva;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion66207.pdf;
66210;CIRCUIT RICARDO TORMO;39.495419;-0.624782;CARRETERA CV-383 - ESTACION FERROCARRIL, S/N;46380;Buñol;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion66210.pdf;
69104;CULLERA;39.177862;-0.263263;CARRETERA CV-5040 - ESTACION FERROCARRIL, S/N;46400;Cullera;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion69104.pdf;
65007;EL PUIG;39.5873418;-0.3117602;CALLE CAMINO ESTACION FERROCARRIL, S/N;46540;Puig de Santa Maria, el;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion65007.pdf;
66203;EL REBOLLAR;39.4774601;-1.0111342;CALLE DESPOBLADO, S/N;46340;Requena;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion66203.pdf;
69101;EL ROMANI;39.3008731;-0.3929023;CALLE DESPOBLADO, S/N;46439;Sollana;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion69101.pdf;
67221;ESTIVELLA-ALBALAT DELS TARONGERS;39.7063846;-0.3482865;AVENIDA CAMP DE MORVEDRE, S/N;46590;Estivella;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion67221.pdf;
69110;GANDIA;38.9703239;-0.1799097;PARC L'ESTACIO FERROCARRIL, S/N;46700;Gandia;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion69110.pdf;
67223;GILET;39.6793275;-0.3202243;CALLE DESPOBLADO, S/N;46149;Gilet;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion67223.pdf;
67212;JERICA-VIVER;39.9151971;-0.5693862;CALLE ESTACION DE FERROCARRIL, S/N;12450;Jérica;Castellón/Castelló;https://data.renfe.com/files/estaciones/FichaEstacion67212.pdf;
65203;LA LLOSA;39.7659238;-0.2045537;CALLE DESPOBLADO, S/N;12591;Llosa, la;Castellón/Castelló;https://data.renfe.com/files/estaciones/FichaEstacion65203.pdf;
64102;LA POBLA LLARGA;39.0468553;-0.4919616;BARRIO ESTACION FERROCARRIL, S/N;46670;Pobla Llarga, la;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion64102.pdf;
64006;L'ALCUDIA;38.9692953;-0.5866583;CALLE PINTOR SOROLLA, S/N;46690;Alcúdia de Crespins, l';Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion64006.pdf;
64007;L'ENOVA-MANUEL;39.046208;-0.491565;CARRER BONAVISTA, 42;46660;Manuel;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion64007.pdf;
65201;LES VALLS;39.7186018;-0.2401644;CALLE DESPOBLADO, S/N;46500;Sagunto/Sagunt;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion65201.pdf;
66209;LORIGUILLA-REVA;39.4857211;-0.5673002;POLIGONO NUMERO 2 - ESTACION FERRORACCIL, S/N;46393;Loriguilla;Valencia/Valéncia;https://data.renfe.com/files/estaciones/FichaEstacion66209.pdf;
